scan,element,sampleID,intenstiy,time,samplerun,intenstiy_baselined,intensity_corrected,intensity_smoothed,intensity_corrected_smoothed
0,75As,Smp_ALOHA_crude,8.00000256000082,0.29534,2020_10_26_Heal_AsLipidswB12_1.csv,-65.69279328963687,73.69279584963769,3.8117201605407845e-5,2.888042786789779e-4
1,75As,Smp_ALOHA_crude,20.0000160000128,0.63228,2020_10_26_Heal_AsLipidswB12_1.csv,-64.76429691892457,84.76431291893738,4.847968077312049e-5,7.096715653108677e-4
2,75As,Smp_ALOHA_crude,24.00002304002212,0.96916,2020_10_26_Heal_AsLipidswB12_1.csv,-63.83579981128456,87.83582285130669,3.6473083917547234e-4,0.008492363483827543
3,75As,Smp_ALOHA_crude,12.000005760002765,1.3061,2020_10_26_Heal_AsLipidswB12_1.csv,-62.907300382145976,74.90730614214874,-0.0021612501418181167,0.02505516982534878
4,75As,Smp_ALOHA_crude,8.00000256000082,1.64304,2020_10_26_Heal_AsLipidswB12_1.csv,-61.97879616857975,69.97879872858057,0.12962898984835686,1.396882697196827
5,75As,Smp_ALOHA_crude,16.000010240006553,1.98009,2020_10_26_Heal_AsLipidswB12_1.csv,-61.05028395858378,77.05029419859034,8.316997566689476,56.984033681862186
6,75As,Smp_ALOHA_crude,8.00000256000082,2.31701,2020_10_26_Heal_AsLipidswB12_1.csv,-60.12175984036801,68.12176240036882,12.141296435988203,72.24828844159507
7,75As,Smp_ALOHA_crude,24.00002304002212,2.65395,2020_10_26_Heal_AsLipidswB12_1.csv,-59.193219131639474,83.1932421716616,18.032334613749068,77.2246862333921
8,75As,Smp_ALOHA_crude,28.000031360035123,2.99084,2020_10_26_Heal_AsLipidswB12_1.csv,-58.2646564688876,86.26468782892272,34.73011020937626,92.9948516666127
9,75As,Smp_ALOHA_crude,36.00005184007465,3.32778,2020_10_26_Heal_AsLipidswB12_1.csv,-57.33606565666942,93.33611749674407,27.855492143022836,85.19164279996438
10,75As,Smp_ALOHA_crude,20.0000160000128,3.66472,2020_10_26_Heal_AsLipidswB12_1.csv,-56.407439636895084,76.40745563690788,29.37434753529069,85.781872164688
11,75As,Smp_ALOHA_crude,36.00005184007465,4.00157,2020_10_26_Heal_AsLipidswB12_1.csv,-55.47877041811359,91.47882225818825,26.59430198707286,82.07315741491901
12,75As,Smp_ALOHA_crude,8.00000256000082,4.33854,2020_10_26_Heal_AsLipidswB12_1.csv,-54.550049244799375,62.55005180480019,15.505316247108626,70.05545049482035
13,75As,Smp_ALOHA_crude,24.00002304002212,4.67548,2020_10_26_Heal_AsLipidswB12_1.csv,-53.62126644663869,77.62128948666081,20.191841725197378,73.8131931888836
14,75As,Smp_ALOHA_crude,28.000031360035123,5.01244,2020_10_26_Heal_AsLipidswB12_1.csv,-52.69241172781731,80.69244308785244,27.30017874543051,79.99267549533782
15,75As,Smp_ALOHA_crude,20.0000160000128,5.34932,2020_10_26_Heal_AsLipidswB12_1.csv,-51.76347401630811,71.7634900163209,24.741732427550353,76.50529146993107
16,75As,Smp_ALOHA_crude,32.00004096005243,5.68623,2020_10_26_Heal_AsLipidswB12_1.csv,-50.83444143315954,82.83448239321197,24.604208194067287,75.43873467125277
17,75As,Smp_ALOHA_crude,12.000005760002765,6.02319,2020_10_26_Heal_AsLipidswB12_1.csv,-49.90530138178513,61.905307141787894,20.487310614240414,70.3926970395881
