scan,element,sampleID,intenstiy,time,samplerun,intenstiy_baselined,intensity_corrected,intensity_smoothed,intensity_corrected_smoothed
0,75As,Smp_BATS_crude,4.000000640000103,0.29532,2020_10_26_Heal_AsLipidswB12_1.csv,-49.73027851954283,53.73027915954293,6.014864929011497e-5,2.502510626744957e-4
1,75As,Smp_BATS_crude,8.00000256000082,0.63226,2020_10_26_Heal_AsLipidswB12_1.csv,-49.052538233275136,57.05254079327595,1.3318995879484102e-4,6.348051733810152e-4
2,75As,Smp_BATS_crude,28.000031360035123,0.96916,2020_10_26_Heal_AsLipidswB12_1.csv,-48.37479740970457,76.3748287697397,0.0015723879401296085,0.007736689154584874
3,75As,Smp_BATS_crude,12.000005760002765,1.3061,2020_10_26_Heal_AsLipidswB12_1.csv,-47.69705494100286,59.697060701005626,0.010165734023726227,0.030839622127554603
4,75As,Smp_BATS_crude,20.0000160000128,1.64303,2020_10_26_Heal_AsLipidswB12_1.csv,-47.01930895559346,67.01932495560627,0.5363623092597716,1.498186773892307
5,75As,Smp_BATS_crude,8.00000256000082,1.97991,2020_10_26_Heal_AsLipidswB12_1.csv,-46.34155698492923,54.34155954493005,13.183650403070217,50.123375115298295
6,75As,Smp_BATS_crude,16.000010240006553,2.31685,2020_10_26_Heal_AsLipidswB12_1.csv,-45.6637958902698,61.663806130276356,17.520425676453616,63.17344202152607
7,75As,Smp_BATS_crude,28.000031360035123,2.65379,2020_10_26_Heal_AsLipidswB12_1.csv,-44.98602198945925,72.98605334949437,26.260184144514156,71.24557290568416
8,75As,Smp_BATS_crude,8.00000256000082,2.99074,2020_10_26_Heal_AsLipidswB12_1.csv,-44.30823098370358,52.308233543704404,9.951261583524131,54.25955460436135
9,75As,Smp_BATS_crude,8.00000256000082,3.32764,2020_10_26_Heal_AsLipidswB12_1.csv,-43.63041784434826,51.63042040434908,7.677044018142925,51.30752390425299
10,75As,Smp_BATS_crude,12.000005760002765,3.66454,2020_10_26_Heal_AsLipidswB12_1.csv,-42.95257701965644,54.9525827796592,9.865819954128074,52.81845901932373
11,75As,Smp_BATS_crude,12.000005760002765,4.00143,2020_10_26_Heal_AsLipidswB12_1.csv,-42.27470244158707,54.27470820158983,16.18694008881207,58.461704574682415
12,75As,Smp_BATS_crude,28.000031360035123,4.33836,2020_10_26_Heal_AsLipidswB12_1.csv,-41.596787492573306,69.59681885260844,23.209019289531,64.80586883725687
13,75As,Smp_BATS_crude,8.00000256000082,4.67531,2020_10_26_Heal_AsLipidswB12_1.csv,-40.918825012301234,48.91882757230205,11.641323736638112,52.56021080237511
14,75As,Smp_BATS_crude,16.000010240006553,5.0122,2020_10_26_Heal_AsLipidswB12_1.csv,-40.24080714448877,56.24081738449532,14.536088324669192,54.776957531488954
15,75As,Smp_BATS_crude,24.00002304002212,5.34914,2020_10_26_Heal_AsLipidswB12_1.csv,-39.56272554366557,63.56274858368769,23.560058814258536,63.12284642654672
16,75As,Smp_BATS_crude,4.000000640000103,5.68608,2020_10_26_Heal_AsLipidswB12_1.csv,-38.88457130195311,42.88457194195321,5.228007313733309,44.112640689419955
17,75As,Smp_BATS_crude,4.000000640000103,6.02301,2020_10_26_Heal_AsLipidswB12_1.csv,-38.20633487584537,42.206335515845474,2.927133716056454,41.133530675387526
18,75As,Smp_BATS_crude,20.0000160000128,6.35991,2020_10_26_Heal_AsLipidswB12_1.csv,-37.52800629299063,57.52802229300343,20.612864372566467,58.140932756977435
19,75As,Smp_BATS_crude,24.00002304002212,6.69684,2020_10_26_Heal_AsLipidswB12_1.csv,-36.84957515897382,60.84959819899594,23.95300646550291,60.802643726283506
20,75As,Smp_BATS_crude,12.000005760002765,7.03376,2020_10_26_Heal_AsLipidswB12_1.csv,-36.17103050409964,48.171036264102405,11.053633544532607,47.22472616141746
21,75As,Smp_BATS_crude,12.000005760002765,7.37065,2020_10_26_Heal_AsLipidswB12_1.csv,-35.49236075017681,47.49236651017957,14.475637241317662,49.96806011445988
22,75As,Smp_BATS_crude,20.0000160000128,7.70759,2020_10_26_Heal_AsLipidswB12_1.csv,-34.81355383730367,54.81356983731647,16.04122915322629,50.85484513095013
23,75As,Smp_BATS_crude,4.000000640000103,8.04444,2020_10_26_Heal_AsLipidswB12_1.csv,-34.13459723065495,38.13459787065505,8.450993202713986,42.585652581834346
24,75As,Smp_BATS_crude,12.000005760002765,8.3814,2020_10_26_Heal_AsLipidswB12_1.csv,-33.45547784726964,45.455483607272406,8.695964512285132,42.151504529559084
25,75As,Smp_BATS_crude,4.000000640000103,8.71834,2020_10_26_Heal_AsLipidswB12_1.csv,-32.77618222284082,36.776182862840926,4.60562806320025,37.38187246947056
26,75As,Smp_BATS_crude,12.000005760002765,9.05527,2020_10_26_Heal_AsLipidswB12_1.csv,-32.09669643850671,44.096702198509476,14.768996839998888,46.8657554786789
27,75As,Smp_BATS_crude,28.000031360035123,9.39219,2020_10_26_Heal_AsLipidswB12_1.csv,-31.417006207643702,59.417037567678825,22.52457888900738,53.94164732226235
28,75As,Smp_BATS_crude,4.000000640000103,9.72909,2020_10_26_Heal_AsLipidswB12_1.csv,-30.73709680266116,34.737097442661266,10.321318764051751,41.05847780414127
29,75As,Smp_BATS_crude,16.000010240006553,10.06604,2020_10_26_Heal_AsLipidswB12_1.csv,-30.05695290179807,46.05696314180462,11.112116422532225,41.169131592393754
30,75As,Smp_BATS_crude,8.00000256000082,10.40294,2020_10_26_Heal_AsLipidswB12_1.csv,-29.376558835922463,37.37656139592328,9.733352108458798,39.10997323112288
31,75As,Smp_BATS_crude,12.000005760002765,10.73984,2020_10_26_Heal_AsLipidswB12_1.csv,-28.695898475332736,40.695904235335504,13.904034963952519,42.5999957508515
32,75As,Smp_BATS_crude,24.00002304002212,11.07678,2020_10_26_Heal_AsLipidswB12_1.csv,-28.01495531656167,52.014978356583796,19.32012523149852,47.335142891366765
33,75As,Smp_BATS_crude,0,11.41367,2020_10_26_Heal_AsLipidswB12_1.csv,-27.333712449183018,27.333712449183018,5.730465512512133,33.06424032538614
34,75As,Smp_BATS_crude,8.00000256000082,11.75061,2020_10_26_Heal_AsLipidswB12_1.csv,-26.652152442620746,34.65215500262157,3.014442109825418,29.66665695369234
35,75As,Smp_BATS_crude,4.000000640000103,12.08754,2020_10_26_Heal_AsLipidswB12_1.csv,-25.9702575929617,29.970258232961804,7.057459243903372,33.02777926405862
36,75As,Smp_BATS_crude,12.000005760002765,12.42443,2020_10_26_Heal_AsLipidswB12_1.csv,-25.288009849771203,37.288015609773964,11.152269311491647,36.44034162387239
37,75As,Smp_BATS_crude,16.000010240006553,12.76137,2020_10_26_Heal_AsLipidswB12_1.csv,-24.605390862911996,40.60540110291855,15.172255164376667,39.77770852528402
38,75As,Smp_BATS_crude,4.000000640000103,13.09831,2020_10_26_Heal_AsLipidswB12_1.csv,-23.92238190936666,27.922382549366763,5.4991645777148,29.421609019410372
39,75As,Smp_BATS_crude,8.00000256000082,13.43522,2020_10_26_Heal_AsLipidswB12_1.csv,-23.23896386006377,31.23896642006459,6.824927695710428,30.063954128639274
40,75As,Smp_BATS_crude,12.000005760002765,13.77212,2020_10_26_Heal_AsLipidswB12_1.csv,-22.555117306708095,34.55512306671086,12.257889005645483,34.813068924220026
41,75As,Smp_BATS_crude,16.000010240006553,14.10906,2020_10_26_Heal_AsLipidswB12_1.csv,-21.870822528614745,37.8708327686213,16.70487167722698,38.57575685918746
42,75As,Smp_BATS_crude,20.0000160000128,14.44597,2020_10_26_Heal_AsLipidswB12_1.csv,-21.186059459547607,41.186075459560406,18.767607365546212,39.95372952383002
43,75As,Smp_BATS_crude,12.000005760002765,14.78288,2020_10_26_Heal_AsLipidswB12_1.csv,-20.500807654562248,32.500813414565016,12.984920155332256,33.485790552316395
44,75As,Smp_BATS_crude,12.000005760002765,15.11982,2020_10_26_Heal_AsLipidswB12_1.csv,-19.81504625685348,31.815052016856246,12.185191540712363,32.00030058867612
45,75As,Smp_BATS_crude,8.00000256000082,15.45671,2020_10_26_Heal_AsLipidswB12_1.csv,-19.128754084607998,27.128756644608817,5.821167406371861,24.949984332638905
46,75As,Smp_BATS_crude,4.000000640000103,15.79365,2020_10_26_Heal_AsLipidswB12_1.csv,-18.441909637861972,22.441910277862075,8.679171386772326,27.121143913707755
47,75As,Smp_BATS_crude,16.000010240006553,16.13058,2020_10_26_Heal_AsLipidswB12_1.csv,-17.75449114536401,33.75450138537056,8.753710523047417,26.508264618557863
48,75As,Smp_BATS_crude,4.000000640000103,16.4675,2020_10_26_Heal_AsLipidswB12_1.csv,-17.066476611443612,21.066477251443715,13.389235548795979,30.45577515511819
49,75As,Smp_BATS_crude,20.0000160000128,16.8044,2020_10_26_Heal_AsLipidswB12_1.csv,-16.377843702885272,36.37785970289807,9.441360947498247,25.819267716116425
50,75As,Smp_BATS_crude,0,17.14134,2020_10_26_Heal_AsLipidswB12_1.csv,-15.688569875808716,15.688569875808716,10.216432734015394,25.90506572110349
51,75As,Smp_BATS_crude,24.00002304002212,17.47825,2020_10_26_Heal_AsLipidswB12_1.csv,-14.998632222555077,38.9986552625772,15.834338398917625,30.83303380714663
52,75As,Smp_BATS_crude,8.00000256000082,17.81515,2020_10_26_Heal_AsLipidswB12_1.csv,-14.308007678579793,22.308010238580614,12.936782855980537,27.244853775467863
53,75As,Smp_BATS_crude,8.00000256000082,18.15208,2020_10_26_Heal_AsLipidswB12_1.csv,-13.616672789351755,21.616675349352576,6.25648146170282,19.873217561681905
54,75As,Smp_BATS_crude,20.0000160000128,18.48897,2020_10_26_Heal_AsLipidswB12_1.csv,-12.924603877259752,32.92461987727255,19.835095603238127,32.75976285960995
55,75As,Smp_BATS_crude,12.000005760002765,18.82591,2020_10_26_Heal_AsLipidswB12_1.csv,-12.23177704852583,24.231782808528592,12.266698654034135,24.49853915063507
56,75As,Smp_BATS_crude,12.000005760002765,19.16285,2020_10_26_Heal_AsLipidswB12_1.csv,-11.53816808012583,23.538173840128593,12.989504342694175,24.5277359436983
57,75As,Smp_BATS_crude,16.000010240006553,19.49976,2020_10_26_Heal_AsLipidswB12_1.csv,-10.843752506717774,26.843762746724327,13.427315045687674,24.27113115062141
58,75As,Smp_BATS_crude,8.00000256000082,19.83669,2020_10_26_Heal_AsLipidswB12_1.csv,-10.14850562757794,18.14850818757876,11.479756295848667,21.628325594313424
59,75As,Smp_BATS_crude,20.0000160000128,20.1736,2020_10_26_Heal_AsLipidswB12_1.csv,-9.452402473544984,29.452418473557785,16.828368633483155,26.28083486244401
60,75As,Smp_BATS_crude,12.000005760002765,20.51055,2020_10_26_Heal_AsLipidswB12_1.csv,-8.755417893972472,20.755423653975235,13.71976722717175,22.4752489546742
61,75As,Smp_BATS_crude,12.000005760002765,20.84744,2020_10_26_Heal_AsLipidswB12_1.csv,-8.057526443689792,20.057532203692556,12.292011191130426,20.349601553492043
62,75As,Smp_BATS_crude,16.000010240006553,21.18434,2020_10_26_Heal_AsLipidswB12_1.csv,-7.358702469972092,23.358712709978647,13.96874678941747,21.32751326647539
63,75As,Smp_BATS_crude,8.00000256000082,21.52122,2020_10_26_Heal_AsLipidswB12_1.csv,-6.658920119519209,14.658922679520028,10.773621079251654,17.432605290866587
64,75As,Smp_BATS_crude,16.000010240006553,21.85817,2020_10_26_Heal_AsLipidswB12_1.csv,-5.958153305443853,21.958163545450404,13.714300614434697,19.67251810721579
65,75As,Smp_BATS_crude,4.000000640000103,22.1951,2020_10_26_Heal_AsLipidswB12_1.csv,-5.256375794269509,9.256376434269612,5.063644351536289,10.320084424515077
66,75As,Smp_BATS_crude,0,22.53199,2020_10_26_Heal_AsLipidswB12_1.csv,-4.553561132938024,4.553561132938024,-0.09397396320588726,4.459651544699349
67,75As,Smp_BATS_crude,20.0000160000128,22.86892,2020_10_26_Heal_AsLipidswB12_1.csv,-3.8496827758274805,23.84969877584028,20.131123079403036,23.98087032945982
68,75As,Smp_BATS_crude,24.00002304002212,23.20586,2020_10_26_Heal_AsLipidswB12_1.csv,-3.14471413178035,27.144737171802472,22.936455990476063,26.081234697809343
69,75As,Smp_BATS_crude,12.000005760002765,23.54282,2020_10_26_Heal_AsLipidswB12_1.csv,-2.4386283711421206,14.438634131144886,13.98239488361057,16.421087931436446
70,75As,Smp_BATS_crude,12.000005760002765,23.87975,2020_10_26_Heal_AsLipidswB12_1.csv,-1.7313983928109058,13.73140415281367,10.096473618196079,11.827936797009437
71,75As,Smp_BATS_crude,0,24.21669,2020_10_26_Heal_AsLipidswB12_1.csv,-1.0229969512984798,1.0229969512984798,0.486986511204472,1.5100483545681185
72,75As,Smp_BATS_crude,8.00000256000082,24.55357,2020_10_26_Heal_AsLipidswB12_1.csv,-0.31339666380257564,8.313399223803396,9.766211466981668,10.079673133246969
73,75As,Smp_BATS_crude,24.00002304002212,24.89044,2020_10_26_Heal_AsLipidswB12_1.csv,0.3974298627090427,23.60259317731308,20.108159101415442,19.710794358621822
74,75As,Smp_BATS_crude,8.00000256000082,25.22737,2020_10_26_Heal_AsLipidswB12_1.csv,1.1095101044026037,6.890492455598215,13.125241176926313,12.015796302004542
75,75As,Smp_BATS_crude,12.000005760002765,25.5643,2020_10_26_Heal_AsLipidswB12_1.csv,1.8228717734702677,10.177133986532496,6.696897834536501,4.874091416200736
76,75As,Smp_BATS_crude,4.000000640000103,25.90122,2020_10_26_Heal_AsLipidswB12_1.csv,2.5375426510091192,1.4624579889909834,8.690830177494393,6.153352996084226
77,75As,Smp_BATS_crude,12.000005760002765,26.23813,2020_10_26_Heal_AsLipidswB12_1.csv,3.2535506198875837,8.74645514011518,8.431357385652237,5.177872364391775
78,75As,Smp_BATS_crude,8.00000256000082,26.57506,2020_10_26_Heal_AsLipidswB12_1.csv,3.9709235775986667,4.029078982402153,10.096515415869998,6.125657559327909
79,75As,Smp_BATS_crude,16.000010240006553,26.91197,2020_10_26_Heal_AsLipidswB12_1.csv,4.689689509099929,11.310320730906625,15.546350482677115,10.856726824900932
80,75As,Smp_BATS_crude,24.00002304002212,27.24888,2020_10_26_Heal_AsLipidswB12_1.csv,5.409876439639721,18.5901466003824,22.889900348091864,17.48008989361504
81,75As,Smp_BATS_crude,20.0000160000128,27.58581,2020_10_26_Heal_AsLipidswB12_1.csv,6.131512507569596,13.868503492443203,22.416499062149995,16.28505265826831
82,75As,Smp_BATS_crude,20.0000160000128,27.92269,2020_10_26_Heal_AsLipidswB12_1.csv,6.854626037142579,13.145389962870219,16.489815727637975,9.635255984088683
83,75As,Smp_BATS_crude,8.00000256000082,28.25963,2020_10_26_Heal_AsLipidswB12_1.csv,7.579245491296736,0.42075706870408336,12.577526369482708,4.998347178621096
84,75As,Smp_BATS_crude,8.00000256000082,28.59657,2020_10_26_Heal_AsLipidswB12_1.csv,8.305399464424038,-0.305396904423219,2.302552041264031,-6.002780741696568
85,75As,Smp_BATS_crude,0,28.93346,2020_10_26_Heal_AsLipidswB12_1.csv,9.033116555124028,-9.033116555124028,6.701997902170065,-2.3310521493077507
86,75As,Smp_BATS_crude,20.0000160000128,29.27039,2020_10_26_Heal_AsLipidswB12_1.csv,9.762425059653307,10.237590940359492,12.74344965906195,2.9810915757534713
87,75As,Smp_BATS_crude,12.000005760002765,29.60732,2020_10_26_Heal_AsLipidswB12_1.csv,10.493344331483083,1.5066614285196813,19.106985264320762,8.613707808391764
88,75As,Smp_BATS_crude,24.00002304002212,29.94423,2020_10_26_Heal_AsLipidswB12_1.csv,11.225893826460483,12.774129213561638,17.704585070291895,6.478758414880302
89,75As,Smp_BATS_crude,12.000005760002765,30.28114,2020_10_26_Heal_AsLipidswB12_1.csv,11.960093015499249,0.039912744503515896,17.201738561271412,5.241712789814608
90,75As,Smp_BATS_crude,16.000010240006553,30.61808,2020_10_26_Heal_AsLipidswB12_1.csv,12.695961497254414,3.304048742752139,11.586021313843373,-1.1098726987216676
91,75As,Smp_BATS_crude,16.000010240006553,30.95499,2020_10_26_Heal_AsLipidswB12_1.csv,13.433518870780143,2.5664913692264104,20.41548536674153,6.98203395771838
92,75As,Smp_BATS_crude,16.000010240006553,31.29189,2020_10_26_Heal_AsLipidswB12_1.csv,14.172784768171093,1.82722547183546,10.754395749374083,-3.4183210715260164
93,75As,Smp_BATS_crude,4.000000640000103,31.62883,2020_10_26_Heal_AsLipidswB12_1.csv,14.91377884718685,-10.913778207186747,10.435941125596088,-4.477770088510101
94,75As,Smp_BATS_crude,20.0000160000128,31.96572,2020_10_26_Heal_AsLipidswB12_1.csv,15.656520783859252,4.343495216153547,12.714283357363065,-2.9421690913345784
95,75As,Smp_BATS_crude,12.000005760002765,32.30265,2020_10_26_Heal_AsLipidswB12_1.csv,16.40101944957971,-4.401013689576946,19.236434049224926,2.835482593087088
96,75As,Smp_BATS_crude,28.000031360035123,32.63958,2020_10_26_Heal_AsLipidswB12_1.csv,17.147283759174595,10.852747600860528,21.89415565795988,4.746940433516087
97,75As,Smp_BATS_crude,12.000005760002765,32.9765,2020_10_26_Heal_AsLipidswB12_1.csv,17.895318270466724,-5.89531251046396,16.145585650113315,-1.7496641387280403
98,75As,Smp_BATS_crude,8.00000256000082,33.31341,2020_10_26_Heal_AsLipidswB12_1.csv,18.645127649806394,-10.645125089805575,6.038476362220111,-12.606582595030192
99,75As,Smp_BATS_crude,8.00000256000082,33.65036,2020_10_26_Heal_AsLipidswB12_1.csv,19.396710727184516,-11.396708167183697,8.274980106101967,-11.121661679333743
100,75As,Smp_BATS_crude,8.00000256000082,33.98731,2020_10_26_Heal_AsLipidswB12_1.csv,20.150055793918145,-12.150053233917326,8.452075049123058,-11.697911792884334
101,75As,Smp_BATS_crude,20.0000160000128,34.32421,2020_10_26_Heal_AsLipidswB12_1.csv,20.905139858583244,-0.9051238585704446,19.677390338539492,-1.2276803002822358
102,75As,Smp_BATS_crude,20.0000160000128,34.66111,2020_10_26_Heal_AsLipidswB12_1.csv,21.66192790120306,-1.6619119011902619,19.997495706521313,-1.6643628257161125
103,75As,Smp_BATS_crude,8.00000256000082,34.998,2020_10_26_Heal_AsLipidswB12_1.csv,22.420384005728224,-14.420381445727404,7.765880949359773,-14.654433584865908
104,75As,Smp_BATS_crude,12.000005760002765,35.33493,2020_10_26_Heal_AsLipidswB12_1.csv,23.180470610816563,-11.180464850813799,13.236857337879586,-9.943543698576976
105,75As,Smp_BATS_crude,16.000010240006553,35.67187,2020_10_26_Heal_AsLipidswB12_1.csv,23.94213587894828,-7.942125638941729,13.513764447488642,-10.428301471578635
106,75As,Smp_BATS_crude,0,36.00878,2020_10_26_Heal_AsLipidswB12_1.csv,24.705316903943384,-24.705316903943384,3.3080872331368023,-21.397159985177712
107,75As,Smp_BATS_crude,8.00000256000082,36.34569,2020_10_26_Heal_AsLipidswB12_1.csv,25.46994291691747,-17.469940356916652,4.463653579747503,-21.006219066688967
108,75As,Smp_BATS_crude,12.000005760002765,36.68263,2020_10_26_Heal_AsLipidswB12_1.csv,26.23591869072241,-14.235912930719646,15.541296159440376,-10.694552573042598
109,75As,Smp_BATS_crude,16.000010240006553,37.01954,2020_10_26_Heal_AsLipidswB12_1.csv,27.003131702969103,-11.00312146296255,12.308339107158181,-14.694722102188777
110,75As,Smp_BATS_crude,8.00000256000082,37.35645,2020_10_26_Heal_AsLipidswB12_1.csv,27.77145533771464,-19.771452777713822,11.956311206710794,-15.8150740156035
111,75As,Smp_BATS_crude,16.000010240006553,37.69338,2020_10_26_Heal_AsLipidswB12_1.csv,28.54075208592588,-12.540741845919328,11.958120323426472,-16.582561045469525
