scan,element,sampleID,intenstiy,time,samplerun,intenstiy_baselined,intensity_corrected,intensity_smoothed,intensity_corrected_smoothed
0,75As,Smp_BATS_elute,16.000010240006553,0.29533,2020_10_26_Heal_AsLipidswB12_1.csv,-25.34337954871933,41.34338978872589,3.573052955913385e-5,1.320171424466751e-4
1,75As,Smp_BATS_elute,8.00000256000082,0.63237,2020_10_26_Heal_AsLipidswB12_1.csv,-24.952707756825202,32.95271031682602,1.4832345620762892e-4,4.0200158589849837e-4
2,75As,Smp_BATS_elute,8.00000256000082,0.9693,2020_10_26_Heal_AsLipidswB12_1.csv,-24.56203555149725,32.56203811149807,0.002134137049730737,0.005254711396373061
3,75As,Smp_BATS_elute,0,1.30623,2020_10_26_Heal_AsLipidswB12_1.csv,-24.17136218977456,24.17136218977456,0.009018939835578806,0.019427340623489348
4,75As,Smp_BATS_elute,20.0000160000128,1.64312,2020_10_26_Heal_AsLipidswB12_1.csv,-23.780686603075843,43.78070260308864,0.2926802760303444,0.7783442519946884
5,75As,Smp_BATS_elute,12.000005760002765,1.98006,2020_10_26_Heal_AsLipidswB12_1.csv,-23.390007481106203,35.39001324110897,14.157782313466369,32.8060897768477
6,75As,Smp_BATS_elute,16.000010240006553,2.317,2020_10_26_Heal_AsLipidswB12_1.csv,-22.99932307576372,38.99933331577027,15.34106750911716,38.33417689163674
7,75As,Smp_BATS_elute,8.00000256000082,2.65392,2020_10_26_Heal_AsLipidswB12_1.csv,-22.608631285046357,30.608633845047176,8.964579422752495,31.572845692202694
8,75As,Smp_BATS_elute,0,2.99082,2020_10_26_Heal_AsLipidswB12_1.csv,-22.217929616958745,22.217929616958745,-1.0978252717320143,21.120140107090585
9,75As,Smp_BATS_elute,0,3.32775,2020_10_26_Heal_AsLipidswB12_1.csv,-21.82721527341918,21.82721527341918,0.6909298282111128,22.518180863951716
10,75As,Smp_BATS_elute,8.00000256000082,3.66467,2020_10_26_Heal_AsLipidswB12_1.csv,-21.43648523416669,29.43648779416751,7.397663398084292,28.834184396854848
11,75As,Smp_BATS_elute,12.000005760002765,4.00158,2020_10_26_Heal_AsLipidswB12_1.csv,-21.045736260668118,33.045742020670886,12.641128323303672,33.68690034971463
12,75As,Smp_BATS_elute,12.000005760002765,4.33851,2020_10_26_Heal_AsLipidswB12_1.csv,-20.654964820025455,32.65497058002822,11.25073217755084,31.905732766369304
13,75As,Smp_BATS_elute,8.00000256000082,4.67536,2020_10_26_Heal_AsLipidswB12_1.csv,-20.264167048883266,28.264169608884085,8.944096328693744,29.208299147974454
14,75As,Smp_BATS_elute,8.00000256000082,5.01232,2020_10_26_Heal_AsLipidswB12_1.csv,-19.87333875733643,27.87334131733725,6.788986740373132,26.66236127240119
15,75As,Smp_BATS_elute,8.00000256000082,5.34926,2020_10_26_Heal_AsLipidswB12_1.csv,-19.482475472838136,27.482478032838955,9.417985765813608,28.900497015021465
16,75As,Smp_BATS_elute,12.000005760002765,5.68611,2020_10_26_Heal_AsLipidswB12_1.csv,-19.091572444108152,31.091578204110917,10.682367407764767,29.773975634108606
17,75As,Smp_BATS_elute,8.00000256000082,6.02309,2020_10_26_Heal_AsLipidswB12_1.csv,-18.700624645041476,26.700627205042295,8.71614606505115,27.41680649500594
18,75As,Smp_BATS_elute,16.000010240006553,6.36002,2020_10_26_Heal_AsLipidswB12_1.csv,-18.30962673861732,34.30963697862387,16.311664605437276,34.621327134257
19,75As,Smp_BATS_elute,24.00002304002212,6.69696,2020_10_26_Heal_AsLipidswB12_1.csv,-17.918573120808638,41.91859616083076,22.545187685751255,40.46379660330086
20,75As,Smp_BATS_elute,16.000010240006553,7.03387,2020_10_26_Heal_AsLipidswB12_1.csv,-17.527457844492012,33.527468084498565,18.407927088717827,35.935420733259974
21,75As,Smp_BATS_elute,16.000010240006553,7.37078,2020_10_26_Heal_AsLipidswB12_1.csv,-17.136274543358063,33.136284783364616,13.039367186638783,30.175677540195828
22,75As,Smp_BATS_elute,16.000010240006553,7.70772,2020_10_26_Heal_AsLipidswB12_1.csv,-16.745016515822734,32.74502675582929,18.781993857023352,35.5270461860232
23,75As,Smp_BATS_elute,28.000031360035123,8.04463,2020_10_26_Heal_AsLipidswB12_1.csv,-16.35367672893912,44.353708088974244,26.63603315361175,42.98974570713104
24,75As,Smp_BATS_elute,12.000005760002765,8.38153,2020_10_26_Heal_AsLipidswB12_1.csv,-15.962247822310058,27.962253582312822,10.456705674643032,26.418989329136693
25,75As,Smp_BATS_elute,4.000000640000103,8.71846,2020_10_26_Heal_AsLipidswB12_1.csv,-15.570721992001305,19.570722632001406,9.45063746394615,25.021395293349972
26,75As,Smp_BATS_elute,20.0000160000128,9.05535,2020_10_26_Heal_AsLipidswB12_1.csv,-15.179091154456088,35.17910715446889,10.756438477936602,25.935565489477305
27,75As,Smp_BATS_elute,0,9.39229,2020_10_26_Heal_AsLipidswB12_1.csv,-14.787347030410407,14.787347030410407,11.840714427754955,26.62809731173627
28,75As,Smp_BATS_elute,28.000031360035123,9.72923,2020_10_26_Heal_AsLipidswB12_1.csv,-14.395480988809181,42.395512348844306,15.303049516733754,29.698566387180747
29,75As,Smp_BATS_elute,12.000005760002765,10.06615,2020_10_26_Heal_AsLipidswB12_1.csv,-14.003484250723863,26.00349001072663,23.788407682582143,37.791927810960225
30,75As,Smp_BATS_elute,32.00004096005243,10.40307,2020_10_26_Heal_AsLipidswB12_1.csv,-13.61134761327079,45.61138857332322,22.64935575379138,36.26073927202068
31,75As,Smp_BATS_elute,12.000005760002765,10.73999,2020_10_26_Heal_AsLipidswB12_1.csv,-13.219061613531398,25.219067373534163,17.72322986413733,30.942327386673412
