scan,element,sampleID,intenstiy,time,samplerun,intenstiy_baselined,intensity_corrected,intensity_smoothed,intensity_corrected_smoothed
0,75As,Smp_KM1906U12_C,4.000000640000103,0.2953,2020_10_26_Heal_AsLipidswB12_3.csv,-5.471556493700023,9.471557133700125,3.5751489755939244e-5,5.5779027884862777e-5
1,75As,Smp_KM1906U12_C,8.00000256000082,0.63219,2020_10_26_Heal_AsLipidswB12_3.csv,-5.329116200832618,13.329118760833438,8.147944173627162e-5,1.3374179411651126e-4
2,75As,Smp_KM1906U12_C,12.000005760002765,0.96913,2020_10_26_Heal_AsLipidswB12_3.csv,-5.186675813249652,17.186681573252415,0.0010144523587782965,0.0016614178990621818
3,75As,Smp_KM1906U12_C,4.000000640000103,1.30605,2020_10_26_Heal_AsLipidswB12_3.csv,-5.044235102944375,9.044235742944478,0.006117209011700306,0.008200963225815323
4,75As,Smp_KM1906U12_C,16.000010240006553,1.64298,2020_10_26_Heal_AsLipidswB12_3.csv,-4.901793670043225,20.90180391004978,0.29729064766567626,0.39637372676636734
5,75As,Smp_KM1906U12_C,0,1.97989,2020_10_26_Heal_AsLipidswB12_3.csv,-4.75935102423028,4.75935102423028,9.558570948326784,13.357874839589039
6,75As,Smp_KM1906U12_C,16.000010240006553,2.31678,2020_10_26_Heal_AsLipidswB12_3.csv,-4.616906466171581,20.616916706178134,16.10962810516915,20.72426904243191
7,75As,Smp_KM1906U12_C,16.000010240006553,2.65372,2020_10_26_Heal_AsLipidswB12_3.csv,-4.474459248939662,20.474469488946216,16.156684601451694,20.63101076523083
8,75As,Smp_KM1906U12_C,8.00000256000082,2.99065,2020_10_26_Heal_AsLipidswB12_3.csv,-4.332008419437894,12.332010979438714,7.813155990841976,12.145177448657442
9,75As,Smp_KM1906U12_C,8.00000256000082,3.32753,2020_10_26_Heal_AsLipidswB12_3.csv,-4.1895528198249545,12.189555379825773,7.712568029651848,11.902133889270223
10,75As,Smp_KM1906U12_C,4.000000640000103,3.66447,2020_10_26_Heal_AsLipidswB12_3.csv,-4.047091168939412,8.047091808939514,3.5479571212187007,7.595061329946817
11,75As,Smp_KM1906U12_C,8.00000256000082,4.0014,2020_10_26_Heal_AsLipidswB12_3.csv,-3.90462206372428,11.904624623725098,10.073226305758173,13.977861408846117
12,75As,Smp_KM1906U12_C,16.000010240006553,4.33829,2020_10_26_Heal_AsLipidswB12_3.csv,-3.762144020651655,19.762154260658207,11.935450581352331,15.697607646042862
13,75As,Smp_KM1906U12_C,8.00000256000082,4.67523,2020_10_26_Heal_AsLipidswB12_3.csv,-3.6196554371473915,11.619657997148211,13.921559976552873,17.54122845230277
14,75As,Smp_KM1906U12_C,20.0000160000128,5.01216,2020_10_26_Heal_AsLipidswB12_3.csv,-3.4771545130158,23.4771705130286,12.763932525904009,16.241100087408018
15,75As,Smp_KM1906U12_C,8.00000256000082,5.34912,2020_10_26_Heal_AsLipidswB12_3.csv,-3.334639331864614,11.334641891865434,15.65720537155083,18.991857743329383
16,75As,Smp_KM1906U12_C,20.0000160000128,5.68601,2020_10_26_Heal_AsLipidswB12_3.csv,-3.1921077425298603,23.19212374254266,13.100903672371457,16.29302446635967
17,75As,Smp_KM1906U12_C,0,6.02293,2020_10_26_Heal_AsLipidswB12_3.csv,-3.049557480501146,3.049557480501146,4.944046375120543,7.9936169007496325
18,75As,Smp_KM1906U12_C,8.00000256000082,6.35988,2020_10_26_Heal_AsLipidswB12_3.csv,-2.906986049346843,10.906988609347662,5.736735430479177,8.64373453174621
19,75As,Smp_KM1906U12_C,16.000010240006553,6.69677,2020_10_26_Heal_AsLipidswB12_3.csv,-2.764390922139749,18.764401162146303,15.7115325147852,18.47593649031694
20,75As,Smp_KM1906U12_C,12.000005760002765,7.03368,2020_10_26_Heal_AsLipidswB12_3.csv,-2.6217694628827752,14.621775222885539,13.963751447758565,16.58553396437411
21,75As,Smp_KM1906U12_C,20.0000160000128,7.37057,2020_10_26_Heal_AsLipidswB12_3.csv,-2.479118847934821,22.47913484794762,17.39941144728126,19.87854335523269
22,75As,Smp_KM1906U12_C,12.000005760002765,7.70751,2020_10_26_Heal_AsLipidswB12_3.csv,-2.336436107437035,14.336441867439799,14.657789126872487,16.994238293989543
23,75As,Smp_KM1906U12_C,8.00000256000082,8.04444,2020_10_26_Heal_AsLipidswB12_3.csv,-2.193718046739217,10.193720606740037,5.194905871116276,7.388636984020886
24,75As,Smp_KM1906U12_C,8.00000256000082,8.38132,2020_10_26_Heal_AsLipidswB12_3.csv,-2.05096132782675,10.050963887827569,11.414222720322933,13.465197114486855
25,75As,Smp_KM1906U12_C,16.000010240006553,8.71825,2020_10_26_Heal_AsLipidswB12_3.csv,-1.9081625107478108,17.908172750754364,11.64739511682387,13.555570702682324
26,75As,Smp_KM1906U12_C,8.00000256000082,9.0552,2020_10_26_Heal_AsLipidswB12_3.csv,-1.7653180550409386,9.765320615041759,13.215451093625921,14.980782221925608
27,75As,Smp_KM1906U12_C,20.0000160000128,9.39211,2020_10_26_Heal_AsLipidswB12_3.csv,-1.622424241162944,21.62244024117574,14.310103011008438,15.932540337251835
