scan,element,sampleID,intenstiy,time,samplerun,intenstiy_baselined,intensity_corrected,intensity_smoothed,intensity_corrected_smoothed
0,75As,Smp_KM1910S2CTD10D25_B,12.000005760002765,0.29531,2020_10_26_Heal_AsLipidswB12_3.csv,-10.234830920833625,22.234836680836388,8.215435852817014e-5,1.2086665475347601e-4
1,75As,Smp_KM1910S2CTD10D25_B,8.00000256000082,0.63224,2020_10_26_Heal_AsLipidswB12_3.csv,-10.063865903122538,18.063868463123356,2.0556134911760843e-4,3.0743921241447057e-4
2,75As,Smp_KM1910S2CTD10D25_B,20.0000160000128,0.96912,2020_10_26_Heal_AsLipidswB12_3.csv,-9.89290066306309,29.892916663075887,0.0017249458648187286,0.0029791017095961397
3,75As,Smp_KM1910S2CTD10D25_B,4.000000640000103,1.306,2020_10_26_Heal_AsLipidswB12_3.csv,-9.721934797668235,13.721935437668337,0.0019273947383879456,0.006093682248246006
4,75As,Smp_KM1910S2CTD10D25_B,12.000005760002765,1.64299,2020_10_26_Heal_AsLipidswB12_3.csv,-9.550967605021766,21.550973365024532,0.08240758988107699,0.2772307130017937
5,75As,Smp_KM1910S2CTD10D25_B,12.000005760002765,1.97993,2020_10_26_Heal_AsLipidswB12_3.csv,-9.379998245988123,21.380004005990887,7.587848317046088,15.067388649878666
6,75As,Smp_KM1910S2CTD10D25_B,0,2.31681,2020_10_26_Heal_AsLipidswB12_3.csv,-9.209025665922017,9.209025665922017,2.050056506605652,11.256362905202188
7,75As,Smp_KM1910S2CTD10D25_B,0,2.65369,2020_10_26_Heal_AsLipidswB12_3.csv,-9.038048596378127,9.038048596378127,-3.169348011087205,5.868540846441489
8,75As,Smp_KM1910S2CTD10D25_B,4.000000640000103,2.99059,2020_10_26_Heal_AsLipidswB12_3.csv,-8.867065676820879,12.867066316820981,7.568246022271151,16.435327347042605
9,75As,Smp_KM1910S2CTD10D25_B,16.000010240006553,3.32756,2020_10_26_Heal_AsLipidswB12_3.csv,-8.696075456334206,24.69608569634076,12.169982527638224,20.866073637834646
10,75As,Smp_KM1910S2CTD10D25_B,4.000000640000103,3.66444,2020_10_26_Heal_AsLipidswB12_3.csv,-8.525076355331388,12.52507699533149,7.052534658039061,15.577626662996765
11,75As,Smp_KM1910S2CTD10D25_B,16.000010240006553,4.00137,2020_10_26_Heal_AsLipidswB12_3.csv,-8.354066547264843,24.354076787271396,14.779980750913499,23.134062952153737
12,75As,Smp_KM1910S2CTD10D25_B,20.0000160000128,4.33825,2020_10_26_Heal_AsLipidswB12_3.csv,-8.183044080336222,28.183060080349023,18.86860628686473,27.051666022317395
13,75As,Smp_KM1910S2CTD10D25_B,8.00000256000082,4.67519,2020_10_26_Heal_AsLipidswB12_3.csv,-8.012006759206415,16.012009319207234,11.291910495668631,19.303932908331664
14,75As,Smp_KM1910S2CTD10D25_B,12.000005760002765,5.01205,2020_10_26_Heal_AsLipidswB12_3.csv,-7.840952106705712,19.84095786670848,7.200983196576877,15.041950963999582
15,75As,Smp_KM1910S2CTD10D25_B,8.00000256000082,5.34907,2020_10_26_Heal_AsLipidswB12_3.csv,-7.6698774855443155,15.669880045545135,13.47632193129409,21.146215072537828
16,75As,Smp_KM1910S2CTD10D25_B,24.00002304002212,5.68595,2020_10_26_Heal_AsLipidswB12_3.csv,-7.498780060022847,31.498803100044967,18.67612645594648,26.174922181165158
17,75As,Smp_KM1910S2CTD10D25_B,8.00000256000082,6.02285,2020_10_26_Heal_AsLipidswB12_3.csv,-7.327656837743125,15.327659397743943,12.54877633881677,19.876448837794666
18,75As,Smp_KM1910S2CTD10D25_B,4.000000640000103,6.3597,2020_10_26_Heal_AsLipidswB12_3.csv,-7.156504511318942,11.156505151319045,0.47311527786926577,7.62963545827184
19,75As,Smp_KM1910S2CTD10D25_B,4.000000640000103,6.69667,2020_10_26_Heal_AsLipidswB12_3.csv,-6.985319620087499,10.985320260087601,6.5392197403345325,13.524555028943924
