Sample ID,lipid_ID,rt_sec,rt_sec_lower,rt_sec_higher,sampleID,area,nMolAs_in_vial,pMolAs_enviro
ALOHA,AsHC332,852,831,887,Smp_ALOHA_crude,17762.089176781268,15.960493119698809,0.0640983659425655
BATS,AsHC332,840,828,877,Smp_BATS_crude,6466.011637244564,5.810168681229178,0.08307019501097436
ETNP-PS1,AsHC332,852,821,876,Smp_PS1_crude,20050.703704330863,18.016975105407276,0.12419794801549626
ETNP-PS2,AsHC332,850,819,878,Smp_PS2_crude,20286.580556387242,18.22892713632396,0.13934594504487546
ETNP-PS3,AsHC332,853,823,877,Smp_PS3_crude,9944.936362663304,8.936228549039043,0.15575762722334727
ALOHA,AsSugPL1010,1542,1519,1571,Smp_ALOHA_crude,43129.576036955295,38.75497385145397,0.1556424652668834
BATS,AsSugPL1010,1544,1518,1566,Smp_BATS_crude,9716.586288085338,8.731039859920841,0.12483100295442282
ETNP-PS1,AsSugPL1010,1547,1526,1565,Smp_PS1_crude,8362.095355312144,7.513933977946065,0.05179644064140037
ETNP-PS2,AsSugPL1010,1541,1522,1560,Smp_PS2_crude,8958.384484362283,8.049741925245234,0.06153400513108056
ETNP-PS3,AsSugPL1010,1534,1523,1557,Smp_PS3_crude,9292.986127527443,8.350405162008986,0.1455467804175593
BATS,AsSugPL902,1326,1298,1349,Smp_BATS_crude,3493.4583424378,3.1391193504038526,0.044881185195746194
ETNP-PS2,AsSugPL902,1314,1297,1345,Smp_PS2_crude,6086.600343232949,5.469240804596045,0.041808084639045805
ALOHA,AsSugPL954,1395,1377,1424,Smp_ALOHA_crude,140767.51208143673,126.48956356945989,0.5079902151383932
BATS,AsSugPL954,1386,1361,1415,Smp_BATS_crude,16311.232980675064,14.656796234430626,0.2095537992491963
ETNP-PS1,AsSugPL954,1371,1358,1410,Smp_PS1_crude,54600.849991455856,49.062724657272426,0.33820825587163855
ETNP-PS2,AsSugPL954,1372,1358,1409,Smp_PS2_crude,54199.4582979926,48.702045837452104,0.37228919464577753
ETNP-PS3,AsSugPL954,1371,1357,1404,Smp_PS3_crude,17549.18445117669,15.769183168806027,0.2748553867154276
ALOHA,AsSugPL956,1446,1433,1464,Smp_ALOHA_crude,21193.71036571883,19.044047415048638,0.07648211813272544
ETNP-PS1,AsSugPL956,1438,1422,1449,Smp_PS1_crude,7369.954958767628,6.622425675334699,0.045650930577955856
ETNP-PS2,AsSugPL956,1431,1413,1468,Smp_PS2_crude,11784.484686931366,10.589192796691487,0.08094612845190867
ETNP-PS3,AsSugPL956,1430,1419,1445,Smp_PS3_crude,7897.197636709136,7.0961905038942366,0.1236859363148531
ETNP-PS1,AsSugPL958,1491,1483,1501,Smp_PS1_crude,1865.1730132759446,1.6759898427012159,0.011553243435177626
ETNP-PS3,AsSugPL958,1488,1475,1496,Smp_PS3_crude,3259.105323838831,2.9285365916020916,0.051044118695211936
ALOHA,AsSugPL982,1480,1471,1491,Smp_ALOHA_crude,6315.579406572981,5.674994684594069,0.02279114331162277
ETNP-PS1,AsSugPL982,1458,1453,1477,Smp_PS1_crude,4240.397866046563,3.8102973300174594,0.02626584689985312
ETNP-PS3,AsSugPL982,1453,1443,1471,Smp_PS3_crude,6429.6286328952765,5.7774759791032455,0.10070086557284566
ETNP-PS3,AsSugPL984,1518,1504,1520,Smp_PS3_crude,3118.6414101744876,2.8023198326784673,0.04884417240043202
ALOHA,unknown_A,1000,988,1030,Smp_ALOHA_crude,15423.354515610812,13.858974649832843,0.05565853273025238
BATS,unknown_A,1000,988,1030,Smp_BATS_crude,2589.673258311302,2.327004543788443,0.03327007043159279
ETNP-PS1,unknown_A,996,972,1022,Smp_PS1_crude,7088.949915823183,6.369922773796614,0.04391033083490704
ETNP-PS2,unknown_A,1003,972,1036,Smp_PS2_crude,9043.643411225929,8.126353099868709,0.06211963787013703
ETNP-PS3,unknown_A,1008,964,1024,Smp_PS3_crude,7000.652640533518,6.290581428264408,0.10964424552761494
ALOHA,unknown_B,1075,1050,1098,Smp_ALOHA_crude,14506.274717140677,13.034913602282705,0.05234905061157713
BATS,unknown_B,1071,1054,1095,Smp_BATS_crude,2591.9007243436486,2.3290060795272733,0.033298687150533024
ALOHA,unknown_C,1119,1108,1141,Smp_ALOHA_crude,6853.513707956321,6.15836669284308,0.024732396356799517
ALOHA,unknown_D,1173,1160,1188,Smp_ALOHA_crude,11911.240408962833,10.703091776098159,0.042984304321679365
ETNP-PS1,unknown_D,1221,1191,1246,Smp_PS1_crude,4345.38178703533,3.9046328066578178,0.02691613767037652
ETNP-PS2,unknown_D,1214,1198,1264,Smp_PS2_crude,6728.425215128523,6.045965836769158,0.046216698159644076
ETNP-PS3,unknown_D,1215,1203,1235,Smp_PS3_crude,2287.731998015238,2.0556889705163455,0.03583046635386949
ALOHA,unknown_E,1206,1190,1225,Smp_ALOHA_crude,7571.464815139964,6.803496530467349,0.02732327923882469
ALOHA,unknown_F_mz1001.4844,1250,1227,1271,Smp_ALOHA_crude,36704.52110061861,32.98160766212423,0.13245625567118166
ALOHA,unknown_G_mz1003.5009,1309,1287,1344,Smp_ALOHA_crude,71497.82520174638,64.24585170406691,0.2580154686910318
ETNP-PS2,AsSugPeL970,1592,1574,1597,Smp_PS2_crude,2812.957882416516,2.527641567468311,0.019321850393034707
ETNP-PS3,AsSugPeL970,1582,1574,1608,Smp_PS3_crude,10502.23706909071,9.437002641659028,0.16448607278775723
ETNP-PS2,AsSugPeL972,1618,1611,1644,Smp_PS2_crude,12250.562366849566,11.007996549422542,0.0841475568341836
ETNP-PS3,AsSugPeL972,1625,1609,1642,Smp_PS3_crude,9466.683155287745,8.506484223930618,0.14826722385863195
ETNP-PS2,AsSugPeL998,1659,1647,1679,Smp_PS2_crude,13107.818572548895,11.77830186861713,0.09003594082263978
ETNP-PS3,AsSugPeL998,1656,1649,1681,Smp_PS3_crude,5673.528671151829,5.098066698071944,0.08885882539378875
ETNP-PS1,unknown_L,1753,1739,1803,Smp_PS1_crude,8699.688772419391,7.817285535151356,0.05388755975056179
