LipidClass,Lipid_Name,tail_length1,tail_length2,saturation_num1,saturation_num2,EmpiricalFormula,mz,mz_13C,ratio_12Cto13C
AsSugPL,AsSugPL790,10,10,0,0,AsO14PC33H64,791.332788295,792.3362297125452,2.616968234297669
AsSugPL,AsSugPL818,12,10,0,0,AsO14PC35H68,819.364088435,820.3675292975744,2.46934098535338
AsSugPL,AsSugPL846,14,10,0,0,AsO14PC37H72,847.395388575,848.3988289418735,2.3374800969945486
AsSugPL,AsSugPL874,16,10,0,0,AsO14PC39H76,875.426688715,876.4301286364291,2.218987870295158
AsSugPL,AsSugPL902,18,10,0,0,AsO14PC41H80,903.457988855,904.461428373967,2.111929329271069
AsSugPL,AsSugPL930,20,10,0,0,AsO14PC43H84,931.489288995,932.4927281485524,2.014725734520134
AsSugPL,AsSugPL958,22,10,0,0,AsO14PC45H88,959.520589135,960.5240279552947,1.9260762097663104
AsSugPL,AsSugPL986,24,10,0,0,AsO14PC47H92,987.551889275,988.5553277901282,1.844899187319842
AsSugPL,AsSugPL788,10,10,1,0,AsO14PC33H62,789.317138225,790.3205774144653,2.6190247141141447
AsSugPL,AsSugPL816,12,10,1,0,AsO14PC35H66,817.348438365,818.3518771248656,2.471171909815678
AsSugPL,AsSugPL844,14,10,1,0,AsO14PC37H70,845.379738505,846.3831768811788,2.339120637455974
AsSugPL,AsSugPL872,16,10,1,0,AsO14PC39H74,873.411038645,874.4144766764176,2.2204662483533157
AsSugPL,AsSugPL900,18,10,1,0,AsO14PC41H78,901.442338785,902.4457765049448,2.1132684522269765
AsSugPL,AsSugPL928,20,10,1,0,AsO14PC43H82,929.473638925,930.4770763621608,2.0159443898308966
AsSugPL,AsSugPL956,22,10,1,0,AsO14PC45H86,957.504939065,958.5083762442767,1.927189951242569
AsSugPL,AsSugPL984,24,10,1,0,AsO14PC47H90,985.536239205,986.5396761481425,1.8459210020390053
AsSugPL,AsSugPL786,10,10,2,0,AsO14PC33H60,787.301488155,788.304925112881,2.621084428540146
AsSugPL,AsSugPL814,12,10,2,0,AsO14PC35H64,815.332788295,816.3362249490365,2.473005551417363
AsSugPL,AsSugPL842,14,10,2,0,AsO14PC37H68,843.364088435,844.3675248176877,2.340763482333385
AsSugPL,AsSugPL870,16,10,2,0,AsO14PC39H72,871.395388575,872.3988247138861,2.221946597633414
AsSugPL,AsSugPL898,18,10,2,0,AsO14PC41H76,899.426688715,900.4301246336396,2.114609274470871
AsSugPL,AsSugPL926,20,10,2,0,AsO14PC43H80,927.457988855,928.4614245736917,2.0171645202998865
