QE_filename,ICP_sampID
201028_Smp_ALOHA_crude_highmass.mzXML,Smp_ALOHA_crude
201028_Smp_ALOHA_crude_lowmass.mzXML,Smp_ALOHA_crude
201028_Smp_ALOHA_elute_highmass.mzXML,Smp_ALOHA_elute
201028_Smp_ALOHA_elute_lowmass.mzXML,Smp_ALOHA_elute
201028_Smp_ALOHAblank_crude_highmass.mzXML,Smp_ALOHAblank_crude
201028_Smp_ALOHAblank_crude_lowmass.mzXML,Smp_ALOHAblank_crude
201028_Smp_ALOHAPrefilter_crude_highmass.mzXML,Smp_ALOHAprefilter_crude
201028_Smp_ALOHAPrefilter_crude_lowmass.mzXML,Smp_ALOHAprefilter_crude
201028_Smp_ALOHAPrefilter_elute_highmass.mzXML,Smp_ALOHAprefilter_elute
201028_Smp_ALOHAPrefilter_elute_lowmass.mzXML,Smp_ALOHAprefilter_elute
201028_Smp_BATS_crude_highmass.mzXML,Smp_BATS_crude
201028_Smp_BATS_crude_lowmass.mzXML,Smp_BATS_crude
201028_Smp_BATS_elute_highmass.mzXML,Smp_BATS_elute
201028_Smp_BATS_elute_lowmas.mzXML,Smp_BATS_elute
201028_Smp_BATSblank_crude_highmass.mzXML,Smp_BATSblank_crude
201028_Smp_BATSblank_crude_lowmass.mzXML,Smp_BATSblank_crude
201028_Smp_KM1906S4C28D15_A_highmass.mzXML,Smp_KM1906S4C28D15_A
201028_Smp_KM1906S4C28D15_A_lowmass.mzXML,Smp_KM1906S4C28D15_A
201028_Smp_KM1906U12_C_highmass.mzXML,Smp_KM1906U12_C
201028_Smp_KM1906U12_C_lowmass.mzXML,Smp_KM1906U12_C
201028_Smp_KM1910S2CTD10D25_B_highmass.mzXML,Smp_KM1910S2CTD10D25_B
201028_Smp_KM1910S2CTD10D25_B_lowmass.mzXML,Smp_KM1910S2CTD10D25_B
201028_Smp_PS1_crude_highmass.mzXML,Smp_PS1_crude
201028_Smp_PS1_crude_lowmass.mzXML,Smp_PS1_crude
201028_Smp_PS1_elute_highmass.mzXML,Smp_PS1_elute
201028_Smp_PS1_elute_lowmass.mzXML,Smp_PS1_elute
201028_Smp_PS2_crude_highmass.mzXML,Smp_PS2_crude
201028_Smp_PS2_crude_lowmass.mzXML,Smp_PS2_crude
201028_Smp_PS2_elute_highmass.mzXML,Smp_PS2_elute
201028_Smp_PS2_elute_lowmass.mzXML,Smp_PS2_elute
201028_Smp_PS3_crude_highmass.mzXML,Smp_PS3_crude
201028_Smp_PS3_crude_lowmass.mzXML,Smp_PS3_crude
201028_Smp_PS3_elute_highmass.mzXML,Smp_PS3_elute
201028_Smp_PS3_elute_lowmass.mzXML,Smp_PS3_elute
