LC_ID,samplerun,LCMS_Location,LCMS_injectVol_uL,Sample ID,Replicate,Fraction ID,Fraction of sample,Sample size (L),Reconst_volume_mL
blank,,RA1,125,,,,,,
As_tune_noCl,,RA2,125,,,,,,
As_tune_wCl,,RA3,125,,,,,,
As_tune_noCl,,RA2,125,,,,,,
blank,,RA1,125,,,,,,
blank,,RA1,125,,,,,,
blank,,RA1,125,,,,,,
Std_0nM,2020_09_01_KRH_AsTotal_1c.csv,RA4,125,,,,,,
Std_0.05nM,2020_09_01_KRH_AsTotal_1c.csv,RA5,125,,,,,,
Std_0.1nM,2020_09_01_KRH_AsTotal_1c.csv,RA6,125,,,,,,
Std_1nM,2020_09_01_KRH_AsTotal_1c.csv,RA7,125,,,,,,
Std_10nM,2020_09_01_KRH_AsTotal_1c.csv,RA8,125,,,,,,
Std_100nM,2020_09_01_KRH_AsTotal_1c.csv,RB1,125,,,,,,
Std_1uM,2020_09_01_KRH_AsTotal_1c.csv,RB2,125,,,,,,
blank,2020_09_01_KRH_AsTotal_1c.csv,RA1,125,,,,,,
blank,2020_09_01_KRH_AsTotal_1c.csv,RA1,125,,,,,,
blank,2020_09_01_KRH_AsTotal_1c.csv,RA1,125,,,,,,
Smp_191209_1,2020_09_01_KRH_AsTotal_1c.csv,RB3,125,Digest blank,,crude organic,0.033333333,,1
Smp_191209_2,2020_09_01_KRH_AsTotal_1c.csv,RB4,125,Process blank,,crude organic,0.033333333,,1
Smp_191209_3,2020_09_01_KRH_AsTotal_1c.csv,RB5,125,ALOHA blank,,crude organic,0.033333333,373.5,1
Smp_191209_4,2020_09_01_KRH_AsTotal_1c.csv,RB6,125,ALOHA,,crude organic,0.033333333,373.5,1
blank,2020_09_01_KRH_AsTotal_1c.csv,RA1,125,,,,,,
Smp_191209_5,2020_09_01_KRH_AsTotal_1c.csv,RB7,125,ALOHA prefilter,,crude organic,0.033333333,,1
Smp_191209_6,2020_09_01_KRH_AsTotal_1c.csv,RB8,125,Hijiki,,crude organic,0.033333333,,1
Smp_191209_7,2020_09_01_KRH_AsTotal_1c.csv,RC1,125,Process blank,,elute organic,0.033333333,,1
Smp_191209_8,2020_09_01_KRH_AsTotal_1c.csv,RC2,125,ALOHA blank,,elute organic,0.033333333,373.5,1
blank2,2020_09_01_KRH_AsTotal_1c.csv,GA1,125,,,,,,
Smp_191209_9,2020_09_01_KRH_AsTotal_1c.csv,RC3,125,ALOHA,,elute organic,0.033333333,373.5,1
Smp_191209_10,2020_09_01_KRH_AsTotal_1c.csv,RC4,125,ALOHA prefilter,,elute organic,0.033333333,,1
Smp_191209_11,2020_09_01_KRH_AsTotal_1c.csv,RC5,125,Hijiki,,elute organic,0.033333333,,1
Smp_191209_12,2020_09_01_KRH_AsTotal_1c.csv,RC6,125,Process blank,,wash organic,0.033333333,,1
blank2,2020_09_01_KRH_AsTotal_1c.csv,GA1,125,,,,,,
Smp_191209_13,2020_09_01_KRH_AsTotal_2.csv,RC7,125,ALOHA blank,,wash organic,0.033333333,373.5,1
Smp_191209_14,2020_09_01_KRH_AsTotal_2.csv,RC8,125,ALOHA,,wash organic,0.033333333,373.5,1
Smp_191209_15,2020_09_01_KRH_AsTotal_2.csv,RD1,125,ALOHA prefilter,,wash organic,0.033333333,,1
Smp_191209_16,2020_09_01_KRH_AsTotal_2.csv,RD2,125,Hijiki,,wash organic,0.033333333,,1
blank2,2020_09_01_KRH_AsTotal_2.csv,GA1,125,,,,,,
Smp_191209_17,2020_09_01_KRH_AsTotal_2.csv,RD3,125,Process blank,,residual,1,,6
Smp_191209_18a,2020_09_01_KRH_AsTotal_2.csv,RD4,125,ALOHA blank,,residual,1,373.5,6
Smp_191209_18b,2020_09_01_KRH_AsTotal_2.csv,RD5,125,ALOHA blank,,residual,1,373.5,6
Smp_191209_19a,2020_09_01_KRH_AsTotal_2.csv,RD6,125,ALOHA,,residual,1,373.5,6
blank2,2020_09_01_KRH_AsTotal_2.csv,GA1,125,,,,,,
Smp_191209_19b,2020_09_01_KRH_AsTotal_2.csv,RD7,125,ALOHA,,residual,1,373.5,6
Smp_191209_20,2020_09_01_KRH_AsTotal_2.csv,RD8,125,ALOHA prefilter,,residual,1,,6
Smp_191209_21,2020_09_01_KRH_AsTotal_2.csv,RE1,125,Hijiki,,residual,1,,6
Smp_191209_22,2020_09_01_KRH_AsTotal_2.csv,RE2,125,Process blank,,water,0.033333333,,1
blank2,2020_09_01_KRH_AsTotal_2.csv,GA1,125,,,,,,
Smp_191209_23,2020_09_01_KRH_AsTotal_2.csv,RE3,125,ALOHA blank,,water,0.033333333,373.5,1
Smp_191209_24,2020_09_01_KRH_AsTotal_2.csv,RE4,125,ALOHA,,water,0.033333333,373.5,1
Smp_191209_25,2020_09_01_KRH_AsTotal_2.csv,RE6,125,ALOHA prefilter,,water,0.033333333,,1
blank2,2020_09_01_KRH_AsTotal_2.csv,GA1,125,,,,,,
Smp_191209_26,2020_09_01_KRH_AsTotal_2.csv,RE7,125,Hijiki,,water,0.033333333,,1
Smp_191209_27,2020_09_01_KRH_AsTotal_2.csv,RE8,125,ETNP_PS2,A,bulk,1,2.227265598,1
Smp_191209_28,2020_09_01_KRH_AsTotal_2.csv,GB1,125,ETNP_PS2,B,bulk,1,2.227265598,1
Smp_191209_29,2020_09_01_KRH_AsTotal_2.csv,GB2,125,ETNP_PS2,C,bulk,1,2.227265598,1
