lipid_ID,rt_min,sampleID,rt_sec,rt_sec_lower,rt_sec_higher,notes,MS1,MS2
AsHC332,14.2,ALOHA,852,831,887,,y,y
unknown_A,16.66666667,ALOHA,1000,988,1030,,,
unknown_B,17.91666667,ALOHA,1075,1050,1098,,,
unknown_C,18.65,ALOHA,1119,1108,1141,,,
unknown_D,19.55,ALOHA,1173,1160,1188,,,
unknown_E,20.1,ALOHA,1206,1190,1225,,,
AsSugPL902,22,ALOHA,,,,no_icp,y,y
AsSugPL952,22.3,ALOHA,,,,no_icp,y,y
AsSugPL928,22.5,ALOHA,,,,no_icp,y,y
AsSugPL954,23.2,ALOHA,1395,1377,1424,,y,y
AsSugPL930,23.4,ALOHA,,,,no_icp,y,y
AsSugPL956,24.1,ALOHA,1446,1433,1464,,y,y
AsSugPL982,24.5,ALOHA,1480,1471,1491,,y,y
AsSugPL958,25,ALOHA,,,,no_icp,y,y
AsSugPL984,25.3,ALOHA,,,,no_icp,y,y
AsSugPL1010,25.7,ALOHA,1542,1519,1571,,y,y
AsSugPeL998,27.6,ALOHA,,,,,y,n
unknown_F_mz1001.4844,20.83333333,ALOHA,1250,1227,1271,,,
unknown_G_mz1003.5009,21.81666667,ALOHA,1309,1287,1344,,,
AsHC332,14,BATS,840,828,877,,y,y
unknown_A,16.66666667,BATS,1000,988,1030,,,
unknown_B,17.85,BATS,1071,1054,1095,,,
AsSugPL902,22.1,BATS,1326,1298,1349,,y,y
AsSugPL952,22.2,BATS,,,,no_icp,y,n
AsSugPL954,23.1,BATS,1386,1361,1415,,y,y
AsSugPL930,23.5,BATS,,,,no_icp,y,n
AsSugPL956,24,BATS,,,,no_icp,y,y
AsSugPL982,24.4,BATS,,,,no_icp,y,y
AsSugPL958,24.9,BATS,,,,no_icp,y,y
AsSugPL984,25.5,BATS,,,,no_icp,y,y
AsSugPL1010,25.7,BATS,1544,1518,1566,,y,y
AsHC332,14.2,ETNP-PS1,852,821,876,,y,y
unknown_A,16.6,ETNP-PS1,996,972,1022,,,
unknown_E,20.35,ETNP-PS1,1221,1191,1246,,,
AsSugPL902,22,ETNP-PS1,,,,no_icp,y,y
AsSugPL952,22.1,ETNP-PS1,,,,no_icp,y,y
AsSugPL928,22.6,ETNP-PS1,,,,no_icp,y,y
AsSugPL954,23.1,ETNP-PS1,1371,1358,1410,,y,y
AsSugPL930,23.6,ETNP-PS1,,,,no_icp,y,y
AsSugPL956,24,ETNP-PS1,1438,1422,1449,,y,y
AsSugPL982,24.4,ETNP-PS1,1458,1453,1477,,y,y
AsSugPL958,25,ETNP-PS1,1491,1483,1501,,y,y
AsSugPL984,25.4,ETNP-PS1,,,,no_icp,y,y
AsSugPL1010,25.7,ETNP-PS1,1547,1526,1565,,y,y
unknown_L,29.21666667,ETNP-PS1,1753,1739,1803,,,
AsHC332,14,ETNP-PS2,850,819,878,,y,y
unknown_A,16.71666667,ETNP-PS2,1003,972,1036,,,
unknown_E,20.23333333,ETNP-PS2,1214,1198,1264,,,
AsSugPL902,21.9,ETNP-PS2,1314,1297,1345,,y,y
AsSugPL952,22.2,ETNP-PS2,,,,no_icp,y,n
AsSugPL954,23,ETNP-PS2,1372,1358,1409,,y,y
AsSugPL930,23.5,ETNP-PS2,,,,no_icp,y,n
AsSugPL956,24.1,ETNP-PS2,1431,1413,1442,,y,y
AsSugPL982,24.4,ETNP-PS2,1453,1443,1465,no_icp,y,y
AsSugPL958,24.9,ETNP-PS2,,,,no_icp,y,y
AsSugPL984,25.3,ETNP-PS2,,,,no_icp,y,y
AsSugPL1010,25.6,ETNP-PS2,1541,1522,1560,,y,y
AsSugPeL970,26.53333333,ETNP-PS2,1592,1574,1597,,,
AsSugPeL972,26.96666667,ETNP-PS2,1618,1611,1644,,,
AsSugPeL998,27.65,ETNP-PS2,1659,1647,1679,,,
AsSugPeL1000,28.35,ETNP-PS2,1693,,,no_icp,,
AsHC332,13.9,ETNP-PS3,853,823,877,,y,y
unknown_A,16.8,ETNP-PS3,1008,964,1024,,,
unknown_E,20.25,ETNP-PS3,1215,1203,1235,,,
AsSugPL902,22,ETNP-PS3,,,,no_icp,y,n
AsSugPL952,22.2,ETNP-PS3,,,,no_icp,y,n
AsSugPL954,23,ETNP-PS3,1371,1357,1404,,y,y
AsSugPL930,23.5,ETNP-PS3,,,,no_icp,y,n
AsSugPL956,24,ETNP-PS3,1430,1419,1442,,y,y
AsSugPL982,24.4,ETNP-PS3,1453,1443,1471,,y,y
AsSugPL958,24.8,ETNP-PS3,1488,1475,1496,,y,y
AsSugPL984,25.3,ETNP-PS3,1518,1504,1520,,y,y
AsSugPL1010,25.7,ETNP-PS3,1534,1523,1557,,y,y
AsSugPeL970,26.36666667,ETNP-PS3,1582,1574,1608,,,
AsSugPeL972,27.08333333,ETNP-PS3,1625,1609,1642,,,
AsSugPeL998,27.6,ETNP-PS3,1656,1649,1681,,,
AsSugPeL1000,28.21666667,ETNP-PS3,1693,,,no_icp,,
