Bracket Type=4
File Name,Path,Instrument Method,
20200122_blank1,C:\Xcalibur\data\Katherine,C:\Xcalibur\methods\Katherine_methods\ArsenicLipids_FSPos_1,
20200122_blank2,C:\Xcalibur\data\Katherine,C:\Xcalibur\methods\Katherine_methods\ArsenicLipids_AIFPos_1,
,,,
20200122_blank3,C:\Xcalibur\data\Katherine,C:\Xcalibur\methods\Katherine_methods\ArsenicLipids_AIFPos_1,
20200122_Smp_HijkiThiol,C:\Xcalibur\data\Katherine,C:\Xcalibur\methods\Katherine_methods\ArsenicLipids_AIFPos_1,
20200122_Smp_HijikiElute,C:\Xcalibur\data\Katherine,C:\Xcalibur\methods\Katherine_methods\ArsenicLipids_AIFPos_1,
20200122_Smp_HijikiCrude,C:\Xcalibur\data\Katherine,C:\Xcalibur\methods\Katherine_methods\ArsenicLipids_AIFPos_1,
20200122_blank4,C:\Xcalibur\data\Katherine,C:\Xcalibur\methods\Katherine_methods\ArsenicLipids_AIFPos_1,
20200122_Smp_ALOHAThiol,C:\Xcalibur\data\Katherine,C:\Xcalibur\methods\Katherine_methods\ArsenicLipids_AIFPos_1,
20200122_Smp_ALOHAElute,C:\Xcalibur\data\Katherine,C:\Xcalibur\methods\Katherine_methods\ArsenicLipids_AIFPos_1,
20200122_Smp_ALOHACrude,C:\Xcalibur\data\Katherine,C:\Xcalibur\methods\Katherine_methods\ArsenicLipids_AIFPos_1,
20200122_blank5,C:\Xcalibur\data\Katherine,C:\Xcalibur\methods\Katherine_methods\ArsenicLipids_AIFPos_1,
20200122_Smp_BATSThiol,C:\Xcalibur\data\Katherine,C:\Xcalibur\methods\Katherine_methods\ArsenicLipids_AIFPos_1,
20200122_Smp_BATSElute,C:\Xcalibur\data\Katherine,C:\Xcalibur\methods\Katherine_methods\ArsenicLipids_AIFPos_1,
20200122_Smp_BATSCrude,C:\Xcalibur\data\Katherine,C:\Xcalibur\methods\Katherine_methods\ArsenicLipids_AIFPos_1,
20200122_blank6,C:\Xcalibur\data\Katherine,C:\Xcalibur\methods\Katherine_methods\ArsenicLipids_AIFPos_1,
20200122_Smp_PS1Thiol,C:\Xcalibur\data\Katherine,C:\Xcalibur\methods\Katherine_methods\ArsenicLipids_AIFPos_1,
20200122_Smp_PS1Elute,C:\Xcalibur\data\Katherine,C:\Xcalibur\methods\Katherine_methods\ArsenicLipids_AIFPos_1,
20200122_Smp_PS1Crude,C:\Xcalibur\data\Katherine,C:\Xcalibur\methods\Katherine_methods\ArsenicLipids_AIFPos_1,
20200122_blank7,C:\Xcalibur\data\Katherine,C:\Xcalibur\methods\Katherine_methods\ArsenicLipids_AIFPos_1,
20200122_Smp_PS2Thiol,C:\Xcalibur\data\Katherine,C:\Xcalibur\methods\Katherine_methods\ArsenicLipids_AIFPos_1,
20200122_Smp_PS2Elute,C:\Xcalibur\data\Katherine,C:\Xcalibur\methods\Katherine_methods\ArsenicLipids_AIFPos_1,
20200122_Smp_PS2Crude,C:\Xcalibur\data\Katherine,C:\Xcalibur\methods\Katherine_methods\ArsenicLipids_AIFPos_1,
20200122_blank8,C:\Xcalibur\data\Katherine,C:\Xcalibur\methods\Katherine_methods\ArsenicLipids_AIFPos_1,
20200122_Smp_PS3Thiol,C:\Xcalibur\data\Katherine,C:\Xcalibur\methods\Katherine_methods\ArsenicLipids_AIFPos_1,
20200122_Smp_PS3Elute,C:\Xcalibur\data\Katherine,C:\Xcalibur\methods\Katherine_methods\ArsenicLipids_AIFPos_1,
20200122_Smp_PS3Crude,C:\Xcalibur\data\Katherine,C:\Xcalibur\methods\Katherine_methods\ArsenicLipids_AIFPos_1,
20200122_blank9,C:\Xcalibur\data\Katherine,C:\Xcalibur\methods\Katherine_methods\ArsenicLipids_AIFPos_2,
20200122_Smp_HijikiElute_AIFNew,C:\Xcalibur\data\Katherine,C:\Xcalibur\methods\Katherine_methods\ArsenicLipids_AIFPos_2,
20200122_blank10,C:\Xcalibur\data\Katherine,C:\Xcalibur\methods\Katherine_methods\ArsenicLipids_AIFPos_2,
,,,
