sep=;
Number;Time 59Co;59Co;Time 75As;75As;Time 140Ce;140Ce;Time 140Ce.16O;140Ce.16O;Time oxides;oxides
1;481.782;4800.92177698118;481.794;0;481.805;0;481.817;0;481.817;NaN
2;481.828;5301.12383825371;481.84;100.0004000016;481.851;0;481.863;0;481.863;NaN
3;481.874;5201.0818250196;481.886;200.0016000128;481.897;0;481.909;0;481.909;NaN
4;481.92;5101.04061228491;481.931;0;481.943;0;481.954;0;481.954;NaN
5;481.966;4900.9605882753;481.977;0;481.989;0;482;0;482;NaN
6;482.012;6701.7960813498;482.023;0;482.035;0;482.046;0;482.046;NaN
7;482.057;5201.0818250196;482.069;0;482.081;100.0004000016;482.092;0;482.092;0
8;482.103;6801.85010322808;482.115;100.0004000016;482.126;0;482.138;0;482.138;NaN
9;482.149;8002.56081946223;482.161;100.0004000016;482.172;0;482.184;0;482.184;NaN
10;482.195;6601.74286011507;482.207;0;482.218;0;482.23;0;482.23;NaN
11;482.241;5501.21026625858;482.253;0;482.264;0;482.276;0;482.276;NaN
12;482.287;6301.58800017604;482.298;0;482.31;0;482.322;0;482.322;NaN
13;482.333;6501.69043951427;482.344;0;482.356;0;482.367;0;482.367;NaN
14;482.379;5301.12383825371;482.39;0;482.402;100.0004000016;482.413;0;482.413;0
15;482.425;5401.16665199683;482.436;100.0004000016;482.448;0;482.459;0;482.459;NaN
16;482.47;6001.44034568296;482.482;0;482.494;0;482.505;0;482.505;NaN
17;482.516;5401.16665199683;482.528;100.0004000016;482.539;0;482.551;0;482.551;NaN
18;482.562;6701.7960813498;482.574;0;482.585;0;482.597;0;482.597;NaN
19;482.608;5801.34591225164;482.62;0;482.631;0;482.643;0;482.643;NaN
20;482.654;6601.74286011507;482.665;0;482.677;0;482.688;0;482.688;NaN
21;482.7;7001.96054895371;482.711;0;482.723;0;482.734;0;482.734;NaN
22;482.746;5301.12383825371;482.757;0;482.769;0;482.78;0;482.78;NaN
23;482.791;5101.04061228491;482.803;0;482.815;0;482.826;0;482.826;NaN
24;482.837;6901.90492575951;482.849;200.0016000128;482.86;0;482.872;100.0004000016;482.872;NaN
25;482.883;5501.21026625858;482.895;100.0004000016;482.906;0;482.918;0;482.918;NaN
26;482.929;6101.48876325823;482.941;100.0004000016;482.952;100.0004000016;482.964;0;482.964;0
27;482.975;5001.00020004001;482.987;0;482.998;0;483.01;0;483.01;NaN
28;483.021;6501.69043951427;483.032;0;483.044;0;483.056;0;483.056;NaN
29;483.067;5701.29989637637;483.078;0;483.09;100.0004000016;483.101;0;483.101;0
30;483.113;5401.16665199683;483.124;0;483.136;0;483.147;0;483.147;NaN
31;483.159;7402.19104855037;483.17;0;483.182;0;483.193;0;483.193;NaN
32;483.204;6601.74286011507;483.216;100.0004000016;483.227;0;483.239;0;483.239;NaN
33;483.25;5301.12383825371;483.262;100.0004000016;483.273;0;483.285;0;483.285;NaN
34;483.296;5501.21026625858;483.308;100.0004000016;483.319;0;483.331;0;483.331;NaN
35;483.342;5901.39272868397;483.354;100.0004000016;483.365;0;483.377;0;483.377;NaN
36;483.388;6401.6388195378;483.399;0;483.411;100.0004000016;483.423;0;483.423;0
37;483.434;4900.9605882753;483.445;100.0004000016;483.457;100.0004000016;483.468;0;483.468;0
38;483.48;5901.39272868397;483.491;0;483.503;0;483.514;0;483.514;NaN
39;483.526;7001.96054895371;483.537;100.0004000016;483.549;0;483.56;0;483.56;NaN
40;483.571;5301.12383825371;483.583;0;483.594;0;483.606;0;483.606;NaN
41;483.617;5701.29989637637;483.629;0;483.64;0;483.652;0;483.652;NaN
42;483.663;6301.58800017604;483.675;0;483.686;100.0004000016;483.698;0;483.698;0
43;483.709;4100.67251029169;483.721;200.0016000128;483.732;0;483.744;0;483.744;NaN
44;483.755;6501.69043951427;483.766;100.0004000016;483.778;0;483.789;0;483.789;NaN
45;483.801;4500.81014582625;483.812;0;483.824;0;483.835;0;483.835;NaN
46;483.847;5501.21026625858;483.858;0;483.87;0;483.881;0;483.881;NaN
47;483.893;5001.00020004001;483.904;100.0004000016;483.916;0;483.927;0;483.927;NaN
48;483.938;4100.67251029169;483.95;0;483.961;0;483.973;0;483.973;NaN
49;483.984;5401.16665199683;483.996;0;484.007;0;484.019;0;484.019;NaN
50;484.03;6101.48876325823;484.042;0;484.053;0;484.065;0;484.065;NaN
51;484.076;5901.39272868397;484.087;100.0004000016;484.099;0;484.11;0;484.11;NaN
52;484.122;6901.90492575951;484.133;200.0016000128;484.145;0;484.156;0;484.156;NaN
53;484.168;6201.53798141939;484.179;100.0004000016;484.191;0;484.202;0;484.202;NaN
54;484.214;4500.81014582625;484.225;100.0004000016;484.237;200.0016000128;484.248;0;484.248;0
55;484.259;5001.00020004001;484.271;0;484.282;200.0016000128;484.294;0;484.294;0
56;484.305;4500.81014582625;484.317;0;484.328;200.0016000128;484.34;0;484.34;0
57;484.351;5101.04061228491;484.363;0;484.374;0;484.386;0;484.386;NaN
58;484.397;6001.44034568296;484.408;0;484.42;0;484.432;0;484.432;NaN
59;484.443;7702.37233067785;484.454;0;484.466;0;484.477;0;484.477;NaN
60;484.489;6501.69043951427;484.5;0;484.512;0;484.523;0;484.523;NaN
61;484.535;6101.48876325823;484.546;0;484.558;200.0016000128;484.569;0;484.569;0
62;484.581;6001.44034568296;484.592;0;484.604;0;484.615;0;484.615;NaN
63;484.626;5301.12383825371;484.638;0;484.65;0;484.661;0;484.661;NaN
64;484.672;7502.25067520256;484.684;0;484.695;0;484.707;0;484.707;NaN
65;484.718;5401.16665199683;484.73;0;484.741;0;484.753;0;484.753;NaN
66;484.764;7302.132222609;484.776;0;484.787;100.0004000016;484.799;0;484.799;0
67;484.81;6401.6388195378;484.822;200.0016000128;484.833;0;484.845;0;484.845;NaN
68;484.856;7402.19104855037;484.867;100.0004000016;484.879;200.0016000128;484.89;0;484.89;0
69;484.902;5801.34591225164;484.913;0;484.925;0;484.936;0;484.936;NaN
70;484.948;8302.75651516303;484.959;0;484.971;0;484.982;0;484.982;NaN
71;484.993;6501.69043951427;485.005;0;485.016;100.0004000016;485.028;0;485.028;0
72;485.039;6801.85010322808;485.051;100.0004000016;485.062;100.0004000016;485.074;0;485.074;0
73;485.085;7602.31110257518;485.097;100.0004000016;485.108;300.003600043201;485.12;0;485.12;0
74;485.131;5101.04061228491;485.143;0;485.154;0;485.166;0;485.166;NaN
75;485.177;5501.21026625858;485.188;0;485.2;100.0004000016;485.212;0;485.212;0
76;485.223;6701.7960813498;485.234;100.0004000016;485.246;100.0004000016;485.257;0;485.257;0
77;485.269;7702.37233067785;485.28;0;485.292;0;485.303;0;485.303;NaN
78;485.314;4700.88376614804;485.326;0;485.338;0;485.349;0;485.349;NaN
