sep=;
Number;Time 59Co;59Co;Time 75As;75As;Time 140Ce;140Ce;Time 140Ce.16O;140Ce.16O;Time oxides;oxides
1;5317.853;200.0016000128;5317.864;200.0016000128;5317.876;0;5317.888;0;5317.888;NaN
2;5317.899;0;5317.91;300.003600043201;5317.922;0;5317.933;0;5317.933;NaN
3;5317.945;100.0004000016;5317.956;300.003600043201;5317.968;0;5317.979;0;5317.979;NaN
4;5317.991;0;5318.002;200.0016000128;5318.014;0;5318.025;0;5318.025;NaN
5;5318.036;100.0004000016;5318.048;200.0016000128;5318.06;0;5318.071;0;5318.071;NaN
6;5318.082;200.0016000128;5318.094;100.0004000016;5318.105;0;5318.117;0;5318.117;NaN
7;5318.128;100.0004000016;5318.14;300.003600043201;5318.151;0;5318.163;0;5318.163;NaN
8;5318.174;100.0004000016;5318.186;100.0004000016;5318.197;0;5318.209;0;5318.209;NaN
9;5318.22;100.0004000016;5318.231;200.0016000128;5318.243;100.0004000016;5318.255;0;5318.255;0
10;5318.266;0;5318.277;100.0004000016;5318.289;200.0016000128;5318.3;0;5318.3;0
11;5318.312;0;5318.323;100.0004000016;5318.335;100.0004000016;5318.346;0;5318.346;0
12;5318.358;0;5318.369;0;5318.381;0;5318.392;0;5318.392;NaN
13;5318.403;400.006400102402;5318.415;0;5318.426;200.0016000128;5318.438;0;5318.438;0
14;5318.449;100.0004000016;5318.461;500.010000200004;5318.472;0;5318.484;0;5318.484;NaN
15;5318.495;100.0004000016;5318.507;300.003600043201;5318.518;100.0004000016;5318.53;100.0004000016;5318.53;1
16;5318.541;100.0004000016;5318.553;200.0016000128;5318.564;0;5318.576;0;5318.576;NaN
17;5318.587;300.003600043201;5318.598;100.0004000016;5318.61;0;5318.621;0;5318.621;NaN
18;5318.633;0;5318.644;0;5318.656;0;5318.667;0;5318.667;NaN
19;5318.679;200.0016000128;5318.69;0;5318.702;0;5318.713;0;5318.713;NaN
20;5318.724;0;5318.736;400.006400102402;5318.747;0;5318.759;0;5318.759;NaN
21;5318.77;0;5318.782;300.003600043201;5318.793;100.0004000016;5318.805;0;5318.805;0
22;5318.816;200.0016000128;5318.828;400.006400102402;5318.839;0;5318.851;0;5318.851;NaN
23;5318.862;300.003600043201;5318.874;200.0016000128;5318.885;0;5318.897;0;5318.897;NaN
24;5318.908;100.0004000016;5318.92;300.003600043201;5318.931;0;5318.943;0;5318.943;NaN
25;5318.954;200.0016000128;5318.965;100.0004000016;5318.977;0;5318.988;0;5318.988;NaN
26;5319;300.003600043201;5319.011;0;5319.023;0;5319.034;0;5319.034;NaN
27;5319.046;0;5319.057;400.006400102402;5319.069;0;5319.08;0;5319.08;NaN
28;5319.091;200.0016000128;5319.103;200.0016000128;5319.115;0;5319.126;0;5319.126;NaN
29;5319.137;0;5319.149;0;5319.16;0;5319.172;0;5319.172;NaN
30;5319.183;0;5319.195;200.0016000128;5319.206;0;5319.218;0;5319.218;NaN
31;5319.229;100.0004000016;5319.241;100.0004000016;5319.252;100.0004000016;5319.264;0;5319.264;0
32;5319.275;500.010000200004;5319.286;200.0016000128;5319.298;0;5319.31;0;5319.31;NaN
33;5319.321;400.006400102402;5319.332;100.0004000016;5319.344;0;5319.355;0;5319.355;NaN
34;5319.367;300.003600043201;5319.378;300.003600043201;5319.39;0;5319.401;0;5319.401;NaN
35;5319.413;200.0016000128;5319.424;100.0004000016;5319.436;0;5319.447;0;5319.447;NaN
36;5319.458;300.003600043201;5319.47;0;5319.482;0;5319.493;0;5319.493;NaN
37;5319.504;500.010000200004;5319.516;300.003600043201;5319.527;0;5319.539;0;5319.539;NaN
38;5319.55;200.0016000128;5319.562;0;5319.573;0;5319.585;0;5319.585;NaN
39;5319.596;300.003600043201;5319.608;300.003600043201;5319.619;0;5319.631;0;5319.631;NaN
40;5319.642;200.0016000128;5319.653;100.0004000016;5319.665;0;5319.677;0;5319.677;NaN
41;5319.688;0;5319.699;300.003600043201;5319.711;0;5319.722;0;5319.722;NaN
42;5319.734;100.0004000016;5319.745;100.0004000016;5319.757;100.0004000016;5319.768;0;5319.768;0
43;5319.779;0;5319.791;100.0004000016;5319.803;0;5319.814;0;5319.814;NaN
44;5319.825;500.010000200004;5319.837;300.003600043201;5319.848;0;5319.86;0;5319.86;NaN
45;5319.871;100.0004000016;5319.883;0;5319.894;0;5319.906;0;5319.906;NaN
46;5319.917;100.0004000016;5319.929;200.0016000128;5319.94;0;5319.952;0;5319.952;NaN
47;5319.963;400.006400102402;5319.975;100.0004000016;5319.986;200.0016000128;5319.998;0;5319.998;0
