sep=;
Number;Time 59Co;59Co;Time 75As;75As;Time 140Ce;140Ce;Time 140Ce.16O;140Ce.16O;Time oxides;oxides
1;5739.065;109376.443789146;5739.076;39662.8259162513;5739.088;0;5739.099;0;5739.099;NaN
2;5739.111;106753.917657881;5739.122;31740.2466327303;5739.134;0;5739.145;0;5739.145;NaN
3;5739.156;111696.82748867;5739.168;33745.4889190629;5739.18;0;5739.191;0;5739.191;NaN
4;5739.202;112806.727821374;5739.214;33043.6175751993;5739.225;0;5739.237;0;5739.237;NaN
5;5739.248;118054.85783181;5739.26;40565.7164606663;5739.271;200.0016000128;5739.283;0;5739.283;0
6;5739.294;96470.8338854557;5739.306;39060.9350586916;5739.317;0;5739.329;0;5739.329;NaN
7;5739.34;108670.325167324;5739.352;36352.7842427204;5739.363;0;5739.375;0;5739.375;NaN
8;5739.386;114118.554712614;5739.397;37556.3345017526;5739.409;0;5739.42;0;5739.42;NaN
9;5739.432;109073.816659569;5739.443;34647.952766629;5739.455;0;5739.466;0;5739.466;NaN
10;5739.478;112806.727821374;5739.489;37054.8411649241;5739.501;0;5739.512;0;5739.512;NaN
11;5739.523;120477.811584359;5739.535;37054.8411649241;5739.546;0;5739.558;0;5739.558;NaN
12;5739.569;111293.251691497;5739.581;31940.756405173;5739.592;0;5739.604;0;5739.604;NaN
13;5739.615;108771.196824644;5739.627;35751.0525029742;5739.638;0;5739.65;0;5739.65;NaN
14;5739.661;109578.199261578;5739.673;34848.5091247016;5739.684;100.0004000016;5739.696;0;5739.696;0
15;5739.707;107964.246258913;5739.718;39763.1438724695;5739.73;0;5739.742;0;5739.742;NaN
16;5739.753;105039.485206102;5739.764;40064.1025641026;5739.776;0;5739.787;0;5739.787;NaN
17;5739.799;120982.65245422;5739.81;38459.0731363374;5739.822;0;5739.833;0;5739.833;NaN
18;5739.845;116036.086720649;5739.856;41167.6796653699;5739.868;0;5739.879;0;5739.879;NaN
19;5739.89;121386.539760121;5739.902;40365.0684904065;5739.914;0;5739.925;0;5739.925;NaN
20;5739.936;111495.03796858;5739.948;35450.1974796312;5739.959;0;5739.971;0;5739.971;NaN
21;5739.982;116036.086720649;5739.994;40967.0220480706;5740.005;100.0004000016;5740.017;0;5740.017;0
22;5740.028;105140.327692376;5740.04;36653.6609596449;5740.051;0;5740.063;0;5740.063;NaN
23;5740.074;105039.485206102;5740.086;33244.1482288479;5740.097;0;5740.109;0;5740.109;NaN
24;5740.12;99897.5924178229;5740.131;39562.5087638469;5740.143;100.0004000016;5740.154;0;5740.154;0
25;5740.166;114017.64008599;5740.177;39261.5621294189;5740.189;0;5740.2;0;5740.2;NaN
26;5740.212;113412.169356815;5740.223;38559.381447429;5740.235;100.0004000016;5740.246;0;5740.246;0
27;5740.257;111192.359769057;5740.269;37054.8411649241;5740.281;0;5740.292;0;5740.292;NaN
28;5740.303;112806.727821374;5740.315;33043.6175751993;5740.326;0;5740.338;0;5740.338;NaN
29;5740.349;113109.44494001;5740.361;35450.1974796312;5740.372;0;5740.384;0;5740.384;NaN
30;5740.395;118761.504392769;5740.407;36152.2037822616;5740.418;100.0004000016;5740.43;0;5740.43;0
31;5740.441;110990.578356335;5740.453;41368.3404985035;5740.464;0;5740.476;0;5740.476;NaN
32;5740.487;94657.0463789414;5740.498;34647.952766629;5740.51;0;5740.521;0;5740.521;NaN
33;5740.533;126537.241548438;5740.544;40866.6944453348;5740.556;0;5740.567;0;5740.567;NaN
34;5740.579;122093.373796652;5740.59;39963.7821963854;5740.602;0;5740.613;0;5740.613;NaN
35;5740.624;115329.593493321;5740.636;38659.6905622281;5740.648;0;5740.659;0;5740.659;NaN
36;5740.67;111394.144424668;5740.682;33544.9502333126;5740.693;0;5740.705;0;5740.705;NaN
37;5740.716;111495.03796858;5740.728;36453.0756781874;5740.739;0;5740.751;0;5740.751;NaN
38;5740.762;119771.068454391;5740.774;38559.381447429;5740.785;100.0004000016;5740.797;0;5740.797;0
39;5740.808;96571.6075458364;5740.819;34848.5091247016;5740.831;200.0016000128;5740.842;0;5740.842;0
40;5740.854;112907.632716694;5740.865;35650.7666917691;5740.877;0;5740.888;0;5740.888;NaN
41;5740.9;98284.883604194;5740.911;37155.1382251261;5740.923;0;5740.934;0;5740.934;NaN
42;5740.946;109174.691558898;5740.957;37355.7347562563;5740.969;100.0004000016;5740.98;0;5740.98;0
43;5740.991;111293.251691497;5741.003;38258.4589252378;5741.015;0;5741.026;0;5741.026;NaN
44;5741.037;115026.822848647;5741.049;42873.3992595323;5741.06;0;5741.072;0;5741.072;NaN
45;5741.083;118155.804906279;5741.095;35851.3391176164;5741.106;0;5741.118;0;5741.118;NaN
46;5741.129;119165.320279406;5741.141;38358.7656289435;5741.152;200.0016000128;5741.164;0;5741.164;0
47;5741.175;126032.177401848;5741.186;39060.9350586916;5741.198;0;5741.21;0;5741.21;NaN
48;5741.221;118963.410713137;5741.232;36051.9147572504;5741.244;0;5741.255;0;5741.255;NaN
49;5741.267;100401.606425703;5741.278;38158.1530252104;5741.29;0;5741.301;0;5741.301;NaN
50;5741.313;101308.882650377;5741.324;35349.9140786791;5741.336;0;5741.347;0;5741.347;NaN
51;5741.358;96672.3820155238;5741.37;40164.423735672;5741.382;0;5741.393;0;5741.393;NaN
52;5741.404;102518.68631491;5741.416;32542.3049964954;5741.427;0;5741.439;0;5741.439;NaN
53;5741.45;111293.251691497;5741.462;32742.827618525;5741.473;100.0004000016;5741.485;0;5741.485;0
54;5741.496;118256.752792145;5741.508;35450.1974796312;5741.519;100.0004000016;5741.531;0;5741.531;0
55;5741.542;115026.822848647;5741.554;36252.4936107484;5741.565;200.0016000128;5741.577;0;5741.577;0
56;5741.588;111091.46865734;5741.599;41769.6718125834;5741.611;0;5741.622;0;5741.622;NaN
57;5741.634;114623.14001101;5741.645;35650.7666917691;5741.657;100.0004000016;5741.668;0;5741.668;0
58;5741.68;112705.823736931;5741.691;34948.7885087582;5741.703;0;5741.714;0;5741.714;NaN
59;5741.725;111394.144424668;5741.737;39261.5621294189;5741.749;0;5741.76;0;5741.76;NaN
60;5741.771;119266.276279776;5741.783;38258.4589252378;5741.794;100.0004000016;5741.806;0;5741.806;0
61;5741.817;121992.395070462;5741.829;36352.7842427204;5741.84;0;5741.852;0;5741.852;NaN
62;5741.863;115329.593493321;5741.875;38459.0731363374;5741.886;0;5741.898;0;5741.898;NaN
63;5741.909;115733.299041985;5741.92;37556.3345017526;5741.932;0;5741.944;0;5741.944;NaN
64;5741.955;118155.804906279;5741.966;40565.7164606663;5741.978;100.0004000016;5741.989;0;5741.989;0
65;5742.001;106249.648512505;5742.012;37054.8411649241;5742.024;0;5742.035;0;5742.035;NaN
66;5742.047;103426.115596257;5742.058;39361.8768704403;5742.07;0;5742.081;0;5742.081;NaN
67;5742.092;105644.552275977;5742.104;34246.8496903764;5742.115;0;5742.127;0;5742.127;NaN
68;5742.138;112604.920463358;5742.15;35951.6265357053;5742.161;0;5742.173;0;5742.173;NaN
69;5742.184;110587.025259242;5742.196;38057.8479288519;5742.207;0;5742.219;0;5742.219;NaN
70;5742.23;117651.077647702;5742.242;42672.714305176;5742.253;200.0016000128;5742.265;0;5742.265;0
71;5742.276;114724.059503813;5742.287;40164.423735672;5742.299;100.0004000016;5742.311;0;5742.311;0
72;5742.322;110788.800186422;5742.333;38158.1530252104;5742.345;0;5742.356;0;5742.356;NaN
73;5742.368;112403.116348777;5742.379;38258.4589252378;5742.391;0;5742.402;0;5742.402;NaN
74;5742.414;109679.078213637;5742.425;37054.8411649241;5742.437;0;5742.448;0;5742.448;NaN
75;5742.459;111898.620251842;5742.471;39963.7821963854;5742.482;0;5742.494;0;5742.494;NaN
76;5742.505;100502.411656272;5742.517;33344.4147604609;5742.528;0;5742.54;0;5742.54;NaN
77;5742.551;125729.148659894;5742.563;38459.0731363374;5742.574;0;5742.586;0;5742.586;NaN
78;5742.597;123507.161204481;5742.609;34848.5091247016;5742.62;0;5742.632;0;5742.632;NaN
79;5742.643;106854.773917794;5742.654;33645.2191745706;5742.666;0;5742.677;0;5742.677;NaN
80;5742.689;110687.912317496;5742.7;35450.1974796312;5742.712;0;5742.723;0;5742.723;NaN
81;5742.735;115834.227457032;5742.746;39963.7821963854;5742.758;0;5742.769;0;5742.769;NaN
82;5742.781;106955.630988009;5742.792;36252.4936107484;5742.804;0;5742.815;0;5742.815;NaN
83;5742.826;109779.957976272;5742.838;41468.6721210324;5742.85;0;5742.861;0;5742.861;NaN
84;5742.872;119569.149149954;5742.884;37857.2401471024;5742.895;100.0004000016;5742.907;0;5742.907;0
85;5742.918;113513.079117612;5742.93;38559.381447429;5742.941;100.0004000016;5742.953;0;5742.953;0
86;5742.964;103526.945121682;5742.976;35851.3391176164;5742.987;0;5742.999;0;5742.999;NaN
87;5743.01;119872.029323934;5743.022;37255.4360889003;5743.033;100.0004000016;5743.045;0;5743.045;0
88;5743.056;113109.44494001;5743.067;34547.6757925938;5743.079;0;5743.09;0;5743.09;NaN
89;5743.102;98486.4608724635;5743.113;32742.827618525;5743.125;100.0004000016;5743.136;0;5743.136;0
90;5743.148;106451.353739857;5743.159;37656.6355799122;5743.171;0;5743.182;0;5743.182;NaN
91;5743.193;99494.3957848913;5743.205;35149.3496869605;5743.217;0;5743.228;0;5743.228;NaN
92;5743.239;104636.123362174;5743.251;36252.4936107484;5743.262;0;5743.274;0;5743.274;NaN
93;5743.285;98587.2507208314;5743.297;34347.1242544771;5743.308;0;5743.32;0;5743.32;NaN
94;5743.331;91836.1201999318;5743.343;32742.827618525;5743.354;0;5743.366;0;5743.366;NaN
95;5743.377;117449.192423774;5743.389;36854.249455198;5743.4;300.003600043201;5743.412;0;5743.412;0
96;5743.423;102518.68631491;5743.434;38860.311202987;5743.446;0;5743.458;0;5743.458;NaN
97;5743.469;124719.105640399;5743.48;37857.2401471024;5743.492;100.0004000016;5743.503;0;5743.503;0
98;5743.515;104131.939284151;5743.526;36954.5449082846;5743.538;100.0004000016;5743.549;0;5743.549;0
99;5743.561;108670.325167324;5743.572;36854.249455198;5743.584;0;5743.595;0;5743.595;NaN
100;5743.606;116843.556223552;5743.618;36854.249455198;5743.629;0;5743.641;0;5743.641;NaN
101;5743.652;108266.846642723;5743.664;35149.3496869605;5743.675;0;5743.687;0;5743.687;NaN
102;5743.698;108771.196824644;5743.71;37355.7347562563;5743.721;100.0004000016;5743.733;0;5743.733;0
103;5743.744;89519.4052378888;5743.755;32341.7855869784;5743.767;0;5743.779;0;5743.779;NaN
104;5743.79;115531.444645369;5743.801;37355.7347562563;5743.813;0;5743.824;0;5743.824;NaN
105;5743.836;103728.606602481;5743.847;35751.0525029742;5743.859;100.0004000016;5743.87;0;5743.87;0
106;5743.882;108872.069292452;5743.893;37054.8411649241;5743.905;0;5743.916;0;5743.916;NaN
107;5743.927;99796.7920451716;5743.939;36352.7842427204;5743.95;100.0004000016;5743.962;0;5743.962;0
108;5743.973;111091.46865734;5743.985;35049.0686961746;5743.996;0;5744.008;0;5744.008;NaN
109;5744.019;112806.727821374;5744.031;36854.249455198;5744.042;100.0004000016;5744.054;0;5744.054;0
110;5744.065;109880.838549493;5744.077;35851.3391176164;5744.088;0;5744.1;0;5744.1;NaN
111;5744.111;107661.653168788;5744.122;38659.6905622281;5744.134;0;5744.146;200.0016000128;5744.146;NaN
112;5744.157;120477.811584359;5744.168;33745.4889190629;5744.18;100.0004000016;5744.191;0;5744.191;0
113;5744.203;108972.942570757;5744.214;35149.3496869605;5744.226;0;5744.237;0;5744.237;NaN
114;5744.249;106955.630988009;5744.26;35249.6314811254;5744.272;0;5744.283;0;5744.283;NaN
115;5744.294;119872.029323934;5744.306;37857.2401471024;5744.318;0;5744.329;0;5744.329;NaN
116;5744.34;120578.778135048;5744.352;37957.5436361524;5744.363;0;5744.375;0;5744.375;NaN
117;5744.386;120679.745497369;5744.398;32843.0901342561;5744.409;100.0004000016;5744.421;0;5744.421;0
118;5744.432;114421.303458557;5744.444;36051.9147572504;5744.455;100.0004000016;5744.467;0;5744.467;0
119;5744.478;104837.802663925;5744.49;37556.3345017526;5744.501;0;5744.513;0;5744.513;NaN
120;5744.524;103930.271323278;5744.535;37255.4360889003;5744.547;0;5744.558;0;5744.558;NaN
121;5744.57;107258.207060563;5744.581;35951.6265357053;5744.593;0;5744.604;0;5744.604;NaN
122;5744.616;107157.347559383;5744.627;35951.6265357053;5744.639;0;5744.65;0;5744.65;NaN
123;5744.662;117852.966117021;5744.673;38960.6227289663;5744.685;0;5744.696;0;5744.696;NaN
124;5744.707;121285.566716105;5744.719;37656.6355799122;5744.73;0;5744.742;0;5744.742;NaN
125;5744.753;108065.112243094;5744.765;38158.1530252104;5744.776;0;5744.788;0;5744.788;NaN
126;5744.799;120275.880917835;5744.811;41268.0096799526;5744.822;0;5744.834;0;5744.834;NaN
127;5744.845;119367.233091652;5744.856;41769.6718125834;5744.868;0;5744.88;0;5744.88;NaN
128;5744.891;108165.979037694;5744.902;34046.302972042;5744.914;100.0004000016;5744.925;0;5744.925;0
129;5744.937;94153.2630429371;5744.948;37556.3345017526;5744.96;300.003600043201;5744.971;0;5744.971;0
130;5744.983;115127.745585765;5744.994;31740.2466327303;5745.006;100.0004000016;5745.017;0;5745.017;0
131;5745.028;104434.447300771;5745.04;34347.1242544771;5745.051;0;5745.063;0;5745.063;NaN
132;5745.074;107762.51672177;5745.086;32542.3049964954;5745.097;100.0004000016;5745.109;0;5745.109;0
133;5745.12;106552.207568923;5745.132;35349.9140786791;5745.143;0;5745.155;0;5745.155;NaN
134;5745.166;110385.253574714;5745.178;34748.2305439951;5745.189;0;5745.201;0;5745.201;NaN
135;5745.212;105140.327692376;5745.223;33946.0308177889;5745.235;0;5745.247;0;5745.247;NaN
136;5745.258;111595.932323245;5745.269;37756.9374616922;5745.281;0;5745.292;0;5745.292;NaN
137;5745.304;109578.199261578;5745.315;34347.1242544771;5745.327;0;5745.338;0;5745.338;NaN
138;5745.35;116036.086720649;5745.361;36653.6609596449;5745.373;0;5745.384;0;5745.384;NaN
139;5745.395;114320.386398888;5745.407;34848.5091247016;5745.419;0;5745.43;0;5745.43;NaN
140;5745.441;100603.217696528;5745.453;32442.0448901777;5745.464;0;5745.476;0;5745.476;NaN
141;5745.487;109174.691558898;5745.499;41468.6721210324;5745.51;0;5745.522;0;5745.522;NaN
142;5745.533;114925.900922622;5745.545;40565.7164606663;5745.556;0;5745.568;0;5745.568;NaN
143;5745.579;95563.9073592239;5745.591;34748.2305439951;5745.602;0;5745.614;0;5745.614;NaN
144;5745.625;101812.953338742;5745.636;36252.4936107484;5745.648;0;5745.659;0;5745.659;NaN
145;5745.671;100099.195592021;5745.682;37155.1382251261;5745.694;100.0004000016;5745.705;0;5745.705;0
146;5745.717;104938.643529955;5745.728;37857.2401471024;5745.74;100.0004000016;5745.751;0;5745.751;0
147;5745.762;114824.979807681;5745.774;41970.3422936842;5745.786;0;5745.797;0;5745.797;NaN
148;5745.808;106249.648512505;5745.82;33544.9502333126;5745.831;0;5745.843;0;5745.843;NaN
149;5745.854;112604.920463358;5745.866;38559.381447429;5745.877;0;5745.889;0;5745.889;NaN
150;5745.9;107560.790426186;5745.912;34547.6757925938;5745.923;0;5745.935;0;5745.935;NaN
151;5745.946;108569.454320482;5745.957;33244.1482288479;5745.969;100.0004000016;5745.981;0;5745.981;0
152;5745.992;97075.4879875358;5746.003;31238.986254846;5746.015;0;5746.026;0;5746.026;NaN
153;5746.038;97680.1712264132;5746.049;34447.3996218797;5746.061;0;5746.072;0;5746.072;NaN
154;5746.083;98587.2507208314;5746.095;33645.2191745706;5746.107;100.0004000016;5746.118;0;5746.118;0
155;5746.129;100502.411656272;5746.141;35249.6314811254;5746.152;100.0004000016;5746.164;0;5746.164;0
156;5746.175;100704.02454648;5746.187;32642.5659059413;5746.198;0;5746.21;0;5746.21;NaN
157;5746.221;110486.139011651;5746.233;33043.6175751993;5746.244;0;5746.256;0;5746.256;NaN
158;5746.267;108670.325167324;5746.278;33645.2191745706;5746.29;0;5746.302;0;5746.302;NaN
159;5746.313;113815.81326572;5746.324;39963.7821963854;5746.336;0;5746.347;0;5746.347;NaN
160;5746.359;107762.51672177;5746.37;36453.0756781874;5746.382;100.0004000016;5746.393;0;5746.393;0
161;5746.404;101712.13758148;5746.416;34246.8496903764;5746.428;0;5746.439;0;5746.439;NaN
162;5746.45;101611.322634023;5746.462;34246.8496903764;5746.473;0;5746.485;0;5746.485;NaN
163;5746.496;115228.669133987;5746.508;31639.9929510902;5746.519;0;5746.531;0;5746.531;NaN
164;5746.542;107762.51672177;5746.554;37054.8411649241;5746.565;0;5746.577;0;5746.577;NaN
165;5746.588;108771.196824644;5746.6;32141.2693898966;5746.611;0;5746.623;0;5746.623;NaN
166;5746.634;120275.880917835;5746.645;33244.1482288479;5746.657;0;5746.668;0;5746.668;NaN
167;5746.68;109174.691558898;5746.691;35249.6314811254;5746.703;100.0004000016;5746.714;0;5746.714;0
168;5746.726;112100.416258177;5746.737;36352.7842427204;5746.749;0;5746.76;0;5746.76;NaN
169;5746.772;117651.077647702;5746.783;36854.249455198;5746.795;0;5746.806;0;5746.806;NaN
170;5746.817;105039.485206102;5746.829;31439.4879969241;5746.841;0;5746.852;0;5746.852;NaN
171;5746.863;105947.096748278;5746.875;33043.6175751993;5746.886;0;5746.898;0;5746.898;NaN
172;5746.909;118155.804906279;5746.921;32141.2693898966;5746.932;0;5746.944;0;5746.944;NaN
173;5746.955;109174.691558898;5746.966;30938.239664225;5746.978;100.0004000016;5746.99;0;5746.99;0
174;5747.001;98788.8328460822;5747.012;30036.0432519023;5747.024;0;5747.035;0;5747.035;NaN
175;5747.047;107359.067372083;5747.058;36352.7842427204;5747.07;300.003600043201;5747.081;0;5747.081;0
176;5747.093;97075.4879875358;5747.104;36954.5449082846;5747.116;100.0004000016;5747.127;0;5747.127;0
177;5747.138;108065.112243094;5747.15;38057.8479288519;5747.162;0;5747.173;0;5747.173;NaN
178;5747.184;102115.40546945;5747.196;38158.1530252104;5747.207;100.0004000016;5747.219;0;5747.219;0
179;5747.23;97277.0458296357;5747.242;35049.0686961746;5747.253;0;5747.265;0;5747.265;NaN
180;5747.276;113210.352268024;5747.288;42070.6787402837;5747.299;0;5747.311;100.0004000016;5747.311;NaN
181;5747.322;104333.610485176;5747.334;37054.8411649241;5747.345;0;5747.357;0;5747.357;NaN
182;5747.368;95765.4409225605;5747.379;31138.7365883159;5747.391;100.0004000016;5747.403;0;5747.403;0
183;5747.414;109679.078213637;5747.425;32843.0901342561;5747.437;0;5747.448;0;5747.448;NaN
184;5747.46;110889.688866032;5747.471;33143.8825004306;5747.483;0;5747.494;0;5747.494;NaN
185;5747.506;118458.650998107;5747.517;31138.7365883159;5747.529;0;5747.54;0;5747.54;NaN
186;5747.551;104837.802663925;5747.563;33544.9502333126;5747.574;0;5747.586;0;5747.586;NaN
187;5747.597;107459.928493954;5747.609;33043.6175751993;5747.62;0;5747.632;0;5747.632;NaN
188;5747.643;109779.957976272;5747.655;34647.952766629;5747.666;0;5747.678;0;5747.678;NaN
189;5747.689;102115.40546945;5747.7;37355.7347562563;5747.712;100.0004000016;5747.724;0;5747.724;0
190;5747.735;113311.260406956;5747.746;33143.8825004306;5747.758;0;5747.769;0;5747.769;NaN
191;5747.781;86296.8612025367;5747.792;36854.249455198;5747.804;100.0004000016;5747.815;0;5747.815;0
192;5747.827;103426.115596257;5747.838;29434.6151073663;5747.85;0;5747.861;0;5747.861;NaN
193;5747.872;85289.9859522376;5747.884;32742.827618525;5747.895;0;5747.907;0;5747.907;NaN
194;5747.918;98587.2507208314;5747.93;31539.7400724913;5747.941;100.0004000016;5747.953;0;5747.953;0
195;5747.964;89519.4052378888;5747.976;36051.9147572504;5747.987;0;5747.999;0;5747.999;NaN
196;5748.01;103123.631879762;5748.022;32241.5270868879;5748.033;100.0004000016;5748.045;0;5748.045;0
197;5748.056;102317.044272455;5748.068;31639.9929510902;5748.079;0;5748.091;0;5748.091;NaN
198;5748.102;105442.860012051;5748.113;31539.7400724913;5748.125;0;5748.137;0;5748.137;NaN
199;5748.148;108065.112243094;5748.159;31238.986254846;5748.171;200.0016000128;5748.182;0;5748.182;0
200;5748.194;110385.253574714;5748.205;34547.6757925938;5748.217;0;5748.228;0;5748.228;NaN
201;5748.24;111797.723464866;5748.251;33244.1482288479;5748.263;0;5748.274;0;5748.274;NaN
202;5748.285;111293.251691497;5748.297;33645.2191745706;5748.309;100.0004000016;5748.32;0;5748.32;0
203;5748.331;119569.149149954;5748.343;39863.462632511;5748.354;0;5748.366;0;5748.366;NaN
204;5748.377;108569.454320482;5748.389;38860.311202987;5748.4;100.0004000016;5748.412;0;5748.412;0
205;5748.423;114421.303458557;5748.435;38459.0731363374;5748.446;0;5748.458;0;5748.458;NaN
206;5748.469;105745.399623213;5748.48;38358.7656289435;5748.492;0;5748.503;0;5748.503;NaN
207;5748.515;113109.44494001;5748.526;36854.249455198;5748.538;0;5748.549;0;5748.549;NaN
208;5748.561;113311.260406956;5748.572;35650.7666917691;5748.584;0;5748.595;0;5748.595;NaN
209;5748.607;127951.529186618;5748.618;39060.9350586916;5748.63;200.0016000128;5748.641;0;5748.641;0
