sep=;
Number;Time 59Co;59Co;Time 75As;75As;Time 140Ce;140Ce;Time 140Ce.16O;140Ce.16O;Time oxides;oxides
1;1252.141;63862.7222162069;1252.153;74320.2853257054;1252.164;0;1252.176;0;1252.176;NaN
2;1252.187;57532.0936871056;1252.199;82068.5282243501;1252.21;0;1252.222;0;1252.222;NaN
3;1252.233;62355.1395872932;1252.245;77640.3745997609;1252.256;0;1252.268;0;1252.268;NaN
4;1252.279;54619.0695716662;1252.291;76533.5804876483;1252.302;0;1252.314;100.0004000016;1252.314;NaN
5;1252.325;58134.8729051399;1252.336;78747.266416548;1252.348;0;1252.36;0;1252.36;NaN
6;1252.371;59842.904856798;1252.382;80357.4653188817;1252.394;0;1252.405;0;1252.405;NaN
7;1252.417;54317.7609056434;1252.428;77137.2742556103;1252.44;0;1252.451;0;1252.451;NaN
8;1252.462;57833.4796710809;1252.474;77237.8927095454;1252.486;0;1252.497;0;1252.497;NaN
9;1252.508;60646.7651717156;1252.52;79149.7967585701;1252.531;0;1252.543;0;1252.543;NaN
10;1252.554;61149.2040579013;1252.566;78646.6358500257;1252.577;0;1252.589;0;1252.589;NaN
11;1252.6;56125.7216164208;1252.612;79049.1629616551;1252.623;0;1252.635;0;1252.635;NaN
12;1252.646;62556.1401257539;1252.658;72912.0281779415;1252.669;0;1252.681;0;1252.681;NaN
13;1252.692;59139.5693837456;1252.703;75527.4887962543;1252.715;0;1252.726;0;1252.726;NaN
14;1252.738;58536.7418289123;1252.749;79753.6165004715;1252.761;0;1252.772;0;1252.772;NaN
15;1252.784;61249.6942527537;1252.795;78042.8694096027;1252.807;0;1252.818;0;1252.818;NaN
16;1252.83;56828.8879177976;1252.841;78646.6358500257;1252.853;0;1252.864;0;1252.864;NaN
17;1252.875;54920.3854849831;1252.887;75829.3078268684;1252.898;0;1252.91;0;1252.91;NaN
18;1252.921;56828.8879177976;1252.933;79854.2559509478;1252.944;0;1252.956;0;1252.956;NaN
