scan,element,sampleID,intenstiy,time,samplerun
0,75As,blank,143.3341551,0.30197,2020_09_01_KRH_AsTotal_1c.csv
0,75As,blank_1,203.3349871,0.30194,2020_09_01_KRH_AsTotal_1c.csv
0,75As,blank_2,136.6674138,0.30194,2020_09_01_KRH_AsTotal_1c.csv
0,75As,blank_3,183.3346778,0.30194,2020_09_01_KRH_AsTotal_1c.csv
0,75As,Std_0nM,166.6677778,0.30197,2020_09_01_KRH_AsTotal_1c.csv
0,75As,Std_0.05nM,330.0043561,0.30194,2020_09_01_KRH_AsTotal_1c.csv
0,75As,Std_0.1nM,406.6732819,0.30194,2020_09_01_KRH_AsTotal_1c.csv
0,75As,blank_4,240.002304,0.30194,2020_09_01_KRH_AsTotal_1c.csv
0,75As,blank_5,160.001024,0.30197,2020_09_01_KRH_AsTotal_1c.csv
0,75As,Std_0nM_1,170.001156,0.30195,2020_09_01_KRH_AsTotal_1c.csv
0,75As,Std_0.05nM_1,186.6680605,0.30194,2020_09_01_KRH_AsTotal_1c.csv
0,75As,Std_0.1nM_1,193.3348285,0.30194,2020_09_01_KRH_AsTotal_1c.csv
0,75As,Std_1nM,196.6682138,0.30194,2020_09_01_KRH_AsTotal_1c.csv
0,75As,Std_10nM,200.0016,0.30197,2020_09_01_KRH_AsTotal_1c.csv
0,75As,Std_100nM,170.001156,0.30196,2020_09_01_KRH_AsTotal_1c.csv
0,75As,Std_1uM,156.6676485,0.30197,2020_09_01_KRH_AsTotal_1c.csv
0,75As,blank_6,163.3344005,0.30197,2020_09_01_KRH_AsTotal_1c.csv
0,75As,blank_7,166.6677778,0.30195,2020_09_01_KRH_AsTotal_1c.csv
0,75As,blank_8,190.001444,0.30194,2020_09_01_KRH_AsTotal_1c.csv
0,75As,Smp_191209_1,196.6682138,0.30195,2020_09_01_KRH_AsTotal_1c.csv
0,75As,Smp_191209_2,210.001764,0.30194,2020_09_01_KRH_AsTotal_1c.csv
0,75As,Smp_191209_3,133.3340444,0.30196,2020_09_01_KRH_AsTotal_1c.csv
0,75As,Smp_191209_4,170.001156,0.30194,2020_09_01_KRH_AsTotal_1c.csv
0,75As,blank_9,173.3345351,0.30197,2020_09_01_KRH_AsTotal_1c.csv
0,75As,Smp_191209_5,133.3340444,0.30195,2020_09_01_KRH_AsTotal_1c.csv
0,75As,Smp_191209_6,186.6680605,0.30194,2020_09_01_KRH_AsTotal_1c.csv
0,75As,Smp_191209_7,106.6671218,0.30194,2020_09_01_KRH_AsTotal_1c.csv
0,75As,Smp_191209_8,140.000784,0.30194,2020_09_01_KRH_AsTotal_1c.csv
0,75As,blank_10,203.3349871,0.30194,2020_09_01_KRH_AsTotal_1c.csv
0,75As,Smp_191209_9,140.000784,0.30194,2020_09_01_KRH_AsTotal_1c.csv
