Lipid Class (short),Lipid ID (ms1 only),SN1 tail length,SN2 tail length,SN1 saturation,SN2 saturation,Empirical Formula (in ionic state),m/z
AsFA,AsFA264,7,NA,0,NA,AsO3C10H21,265.07848886
AsFA,AsFA278,8,NA,0,NA,AsO3C11H23,279.09413893
AsFA,AsFA292,9,NA,0,NA,AsO3C12H25,293.109789
AsFA,AsFA306,10,NA,0,NA,AsO3C13H27,307.12543907
AsFA,AsFA320,11,NA,0,NA,AsO3C14H29,321.14108914
AsFA,AsFA334,12,NA,0,NA,AsO3C15H31,335.15673921
AsFA,AsFA348,13,NA,0,NA,AsO3C16H33,349.17238928
AsFA,AsFA362,14,NA,0,NA,AsO3C17H35,363.18803935
AsFA,AsFA376,15,NA,0,NA,AsO3C18H37,377.20368942
AsFA,AsFA390,16,NA,0,NA,AsO3C19H39,391.21933949
AsFA,AsFA404,17,NA,0,NA,AsO3C20H41,405.23498956
AsFA,AsFA418,18,NA,0,NA,AsO3C21H43,419.25063963
AsFA,AsFA432,19,NA,0,NA,AsO3C22H45,433.2662897
AsFA,AsFA446,20,NA,0,NA,AsO3C23H47,447.28193977
AsFA,AsFA460,21,NA,0,NA,AsO3C24H49,461.29758984
AsFA,AsFA262,7,NA,1,NA,AsO3C10H19,263.06283879
AsFA,AsFA276,8,NA,1,NA,AsO3C11H21,277.07848886
AsFA,AsFA290,9,NA,1,NA,AsO3C12H23,291.09413893
AsFA,AsFA304,10,NA,1,NA,AsO3C13H25,305.109789
AsFA,AsFA318,11,NA,1,NA,AsO3C14H27,319.12543907
AsFA,AsFA332,12,NA,1,NA,AsO3C15H29,333.14108914
AsFA,AsFA346,13,NA,1,NA,AsO3C16H31,347.15673921
AsFA,AsFA360,14,NA,1,NA,AsO3C17H33,361.17238928
AsFA,AsFA374,15,NA,1,NA,AsO3C18H35,375.18803935
AsFA,AsFA388,16,NA,1,NA,AsO3C19H37,389.20368942
AsFA,AsFA402,17,NA,1,NA,AsO3C20H39,403.21933949
AsFA,AsFA416,18,NA,1,NA,AsO3C21H41,417.23498956
AsFA,AsFA430,19,NA,1,NA,AsO3C22H43,431.25063963
AsFA,AsFA444,20,NA,1,NA,AsO3C23H45,445.2662897
AsFA,AsFA458,21,NA,1,NA,AsO3C24H47,459.28193977
AsFA,AsFA260,7,NA,2,NA,AsO3C10H17,261.04718872
AsFA,AsFA274,8,NA,2,NA,AsO3C11H19,275.06283879
AsFA,AsFA288,9,NA,2,NA,AsO3C12H21,289.07848886
AsFA,AsFA302,10,NA,2,NA,AsO3C13H23,303.09413893
AsFA,AsFA316,11,NA,2,NA,AsO3C14H25,317.109789
AsFA,AsFA330,12,NA,2,NA,AsO3C15H27,331.12543907
AsFA,AsFA344,13,NA,2,NA,AsO3C16H29,345.14108914
AsFA,AsFA358,14,NA,2,NA,AsO3C17H31,359.15673921
AsFA,AsFA372,15,NA,2,NA,AsO3C18H33,373.17238928
AsFA,AsFA386,16,NA,2,NA,AsO3C19H35,387.18803935
AsFA,AsFA400,17,NA,2,NA,AsO3C20H37,401.20368942
AsFA,AsFA414,18,NA,2,NA,AsO3C21H39,415.21933949
AsFA,AsFA428,19,NA,2,NA,AsO3C22H41,429.23498956
AsFA,AsFA442,20,NA,2,NA,AsO3C23H43,443.25063963
AsFA,AsFA456,21,NA,2,NA,AsO3C24H45,457.2662897
AsFA,AsFA258,7,NA,3,NA,AsO3C10H15,259.03153865
AsFA,AsFA272,8,NA,3,NA,AsO3C11H17,273.04718872
AsFA,AsFA286,9,NA,3,NA,AsO3C12H19,287.06283879
AsFA,AsFA300,10,NA,3,NA,AsO3C13H21,301.07848886
AsFA,AsFA314,11,NA,3,NA,AsO3C14H23,315.09413893
AsFA,AsFA328,12,NA,3,NA,AsO3C15H25,329.109789
AsFA,AsFA342,13,NA,3,NA,AsO3C16H27,343.12543907
AsFA,AsFA356,14,NA,3,NA,AsO3C17H29,357.14108914
AsFA,AsFA370,15,NA,3,NA,AsO3C18H31,371.15673921
AsFA,AsFA384,16,NA,3,NA,AsO3C19H33,385.17238928
AsFA,AsFA398,17,NA,3,NA,AsO3C20H35,399.18803935
AsFA,AsFA412,18,NA,3,NA,AsO3C21H37,413.20368942
AsFA,AsFA426,19,NA,3,NA,AsO3C22H39,427.21933949
AsFA,AsFA440,20,NA,3,NA,AsO3C23H41,441.23498956
AsFA,AsFA454,21,NA,3,NA,AsO3C24H43,455.25063963
AsFA,AsFA256,7,NA,4,NA,AsO3C10H13,257.01588858
AsFA,AsFA270,8,NA,4,NA,AsO3C11H15,271.03153865
AsFA,AsFA284,9,NA,4,NA,AsO3C12H17,285.04718872
AsFA,AsFA298,10,NA,4,NA,AsO3C13H19,299.06283879
AsFA,AsFA312,11,NA,4,NA,AsO3C14H21,313.07848886
AsFA,AsFA326,12,NA,4,NA,AsO3C15H23,327.09413893
AsFA,AsFA340,13,NA,4,NA,AsO3C16H25,341.109789
AsFA,AsFA354,14,NA,4,NA,AsO3C17H27,355.12543907
AsFA,AsFA368,15,NA,4,NA,AsO3C18H29,369.14108914
AsFA,AsFA382,16,NA,4,NA,AsO3C19H31,383.15673921
AsFA,AsFA396,17,NA,4,NA,AsO3C20H33,397.17238928
AsFA,AsFA410,18,NA,4,NA,AsO3C21H35,411.18803935
AsFA,AsFA424,19,NA,4,NA,AsO3C22H37,425.20368942
AsFA,AsFA438,20,NA,4,NA,AsO3C23H39,439.21933949
AsFA,AsFA452,21,NA,4,NA,AsO3C24H41,453.23498956
AsFA,AsFA254,7,NA,5,NA,AsO3C10H11,255.00023851
AsFA,AsFA268,8,NA,5,NA,AsO3C11H13,269.01588858
AsFA,AsFA282,9,NA,5,NA,AsO3C12H15,283.03153865
