Lipid Class (short),Empirical Formula (in ionic state),m/z
AsFA,C2H7AsO,121.971284075
AsFA,C4H8As,130.98419448
AsFA,C5H10As,144.99984455
AsFA,C6H12As,159.01549462
AsFA,C7H12O3As,219.00023851
AsFA,C8H14O3As,233.01588858
AsFA,C10H20AsO2,247.06792416
AsFA,C13H24As,255.10939504
AsFA,C11H20AsO2,259.06792416
AsFA,C13H20AsO,267.07300953
AsFA,C13H22AsO2,285.08357423
AsFA,C13H24AsO2,287.0992243
AsFA,C14H24AsO2,299.0992243
AsFA,C15H24AsO2,311.0992243
AsFA,C17H36As,315.20329546
AsFA,C15H30AsO2,317.14617451
AsFA,C22H34As,373.18764539
AsFA,C17H28AsO2,339.13052444
AsFA,C19H40As,343.2345956
AsFA,C17H34AsO2,345.17747465
AsFA,C19H36AsO2,371.19312472
AsFA,C19H38AsO2,373.20877479
AsFA,C23H36As,387.20329546
AsFA,C23H36AsO2,419.19312472
AsFA,C24H36AsO2,431.19312472
AsHC,AsO,90.91650883
AsHC,AsC2H4,102.95289434
AsHC,AsC2H6,104.96854441
AsHC,C2H6OAs,120.96345904
AsHC,AsC2OH8,122.97910911
AsHC,C3H10AsO,136.99475918
AsHC,C2H8O2As,138.97402374
AsHC,C5H10O2As,176.98967381
AsSugPL,C10H22AsO7,329.05814738
AsSugPL,C13H29AsO12P,483.061257775
AsIsop,C5H12O3As,195.00023851
AsIsop,C8H16O4As,251.02645328
AsIsop,C7H16O5As,255.02136791
AsIsop,C8H18O5As,269.03701798
AsSugPL,AsC2H4,102.95289434
AsSugPL,AsC2H6,104.96854441
AsSugPL,AsC2OH8,122.97910911
AsSugPL,C7H14AsO4,237.01080321
AsSugPL,C10H21AsO9P,391.013913605
AsSugPL,C10H23AsO10P,409.024478305
AsSugPL,C11H25O10AsP,423.040128375
TMAsFOH,C17H34As,313.18764539
TMAsFOH,C19H36As,339.20329546
AsPC,C17AsO3H36,363.18803935
AsPC,C17AsO2H34,345.17747465
AsPC,C19AsO3H40,391.21933949
AsPC,C19AsO2H38,373.20877479
AsPC,C23AsO3H38,437.20368942
AsPC,C23AsO2H36,419.19312472
AsPC,C24AsO3H38,449.20368942
AsPC,C24AsO2H36,431.19312472
